Planet_Name,System_Distance_PC,Star_Temperature_K,System_Infrared_Magnitude
Kepler-23 d,835.756,5828.0,11.998
K2-138 f,202.585,5356.3,10.305
Kepler-407 b,338.368,5476.0,10.911
Kepler-539 b,307.318,5820.0,10.915
Kepler-77 b,639.411,5520.0,12.361
Qatar-8 b,281.498,5738.0,9.937
CoRoT-4 b,726.412,6190.0,12.288
Kepler-129 b,408.845,5770.0,10.252
Kepler-177 c,1435.44,5732.0,13.421
Qatar-4 b,329.036,5215.0,11.519
TOI-163 b,411.719,6495.0,10.124
CoRoT-27 b,1010.28,5900.0,12.985
HAT-P-50 b,515.458,6280.0,10.5
HD 42813 b,68.192,5289.0,7.587
HD 77946 b,99.451,6007.0,7.622
Kepler-106 b,444.322,5858.0,11.431
Kepler-79 b,1020.72,6174.0,12.606
TOI-2338 b,313.996,5581.0,10.664
HD 209458 b,48.3016,6091.0,6.308
Kepler-19 b,218.562,5541.0,10.318
Kepler-21 b,108.522,6305.0,6.945
Kepler-98 b,350.315,5539.0,11.253
TOI-2202 b,235.933,5144.0,10.8
HATS-50 b,756.742,5990.0,12.289
K2-38 c,192.69,5705.0,9.47
HATS-1 b,283.971,5870.0,10.58
Kepler-102 d,107.796,4909.0,9.351
TIC 172900988 b,250.956,6050.0,8.762
TOI-4914 b,299.89,5805.0,10.706
HAT-P-37 b,390.594,5500.0,11.667
HD 110067 f,32.1585,5266.0,6.492
Kepler-46 b,777.06,5155.0,13.347
Kepler-9 b,628.257,5774.0,12.337
CoRoT-28 b,766.183,5150.0,11.032
HIP 8152 c,101.694,5618.0,8.449
K2-237 b,314.995,6180.0,10.217
Kepler-433 b,1878.31,6360.0,12.826
KOI-142 b,376.863,5466.0,11.454
Kepler-32 b,323.847,3900.0,12.757
Kepler-418 b,1002.53,5820.0,13.103
Kepler-79 e,1020.72,6174.0,12.606
TOI-1443 b,85.8034,5224.0,8.674
TOI-244 b,22.0337,3433.0,7.97
TOI-2977 b,341.24317438112195,5691.0,10.666
TOI-4600 c,216.056,5170.0,10.571
TOI-628 b,178.68,6250.0,8.811
CoRoT-36 b,925.958,6730.0,11.592
HAT-P-51 b,440.089,5453.0,11.614
Kepler-30 b,914.221,5498.0,13.581
Kepler-425 b,646.647,5170.0,12.806
Kepler-538 b,155.956,5534.0,9.645001
Kepler-85 c,765.025,5505.2,13.083
TOI-2525 b,395.398,5096.0,11.905
HD 97658 b,21.5618,5212.0,5.734
Kepler-68 b,144.166,5847.0,8.588
HAT-P-26 b,141.837,5079.0,9.581
Kepler-109 b,474.861,5950.0,11.001
TOI-1776 b,44.647,5785.0,6.687
HD 149026 b,75.8643,6179.0,6.819
TOI-2981 b,527.789,5940.0,11.78
Kepler-52 c,321.542,4075.0,12.36
Kepler-78 b,124.376,5058.0,9.586
Kepler-94 b,191.904,4781.0,10.594
TOI-2088 b,126.46,5081.0,9.521
Kepler-167 e,341.908,4884.0,11.832
TOI-1347 b,147.476,5464.0,9.616
Kepler-289 b,704.438,5990.0,12.508
TOI-1836 c,191.649,6237.0,8.531
K2-114 b,475.758,4899.0,12.304
TOI-178 e,62.699,4316.0,8.656
TOI-2184 b,788.317,5966.0,10.41
TOI-4377 b,455.82,4974.0,9.148
GJ 9827 d,29.661,4236.0,7.193
HD 63433 c,22.4035,5634.0,5.258
KELT-11 b,99.1596,5375.0,6.122
Kepler-128 b,396.379,6072.0,10.109
Kepler-57 c,644.14,5187.9,12.897
TOI-1248 b,168.735,5205.0,9.87
K2-111 b,200.394,5775.0,9.377
Kepler-103 c,494.832,6009.0,10.873
TOI-1235 b,39.6345,3997.0,7.893
TOI-251 b,99.523,5875.0,8.426
HATS-57 b,279.485,5587.0,10.707
K2-146 b,79.3002,3385.0,11.37
K2-199 c,107.518,4491.0,9.625
Kepler-17 b,720.753,5781.0,12.585
TOI-2076 b,41.9091,5192.0,7.115
HAT-P-31 b,344.05,6065.0,10.083
HIP 94235 b,58.5146,5991.0,6.881
Kepler-107 c,525.997,5854.0,11.06
Kepler-1708 b,1666.69,6157.0,14.089
TOI-2076 c,41.9091,5192.0,7.115
HAT-P-45 b,298.64,6330.0,10.201
HD 152843 b,107.898,6310.0,7.629
HD 15337 c,44.8155,5125.0,7.044
KELT-16 b,444.586,6236.0,10.642
Kepler-101 c,927.981,5667.0,12.011
HD 213885 b,48.0883,5978.0,6.419
HD 28109 c,139.611,6120.0,8.175
Kepler-23 c,835.756,5828.0,11.998
Kepler-32 c,323.847,3900.0,12.757
NGTS-6 b,308.262,4730.0,11.65
TOI-544 b,41.1166,4169.0,7.8
LHS 1478 b,18.2276,3381.0,8.767
K2-141 b,61.8736,4570.0,8.401
Kepler-29 c,832.532,5378.0,13.657
Kepler-40 b,2305.01,6510.0,13.27
CoRoT-29 b,806.507,5260.0,13.048
HATS-5 b,246.384,5304.0,10.703
HATS-52 b,555.134,6010.0,12.114
Kepler-41 b,1093.08,5750.0,12.892
Kepler-75 b,835.356,5200.0,13.118
TOI-1246 c,169.422,5213.0,9.907
K2-31 b,110.527,5280.0,8.866
Kepler-100 c,304.645,5825.0,9.768
Kepler-447 b,268.041,5493.0,10.806
TOI-178 c,62.699,4316.0,8.656
HAT-P-56 b,320.639,6566.0,9.83
HD 93963 A b,82.3432,5908.0,7.776
Qatar-1 b,185.615,5013.0,10.409
TOI-1386 b,146.858,5735.0,9.086
TOI-1820 b,248.504,5734.0,9.508
TOI-2374 b,134.655,4802.0,9.793
TOI-1075 b,61.4592,3875.0,9.115
TOI-421 b,74.7969,5291.0,8.071
HAT-P-52 b,361.155,5131.0,11.621
HD 110067 c,32.1585,5266.0,6.492
K2-265 b,138.671,5420.0,9.259
NGTS-4 b,280.555,5143.0,11.073
TOI-1601 b,336.608,5982.0,9.191
TOI-481 b,179.366,5735.0,8.443
TOI-5005 b,207.891,5749.0,10.004
K2-233 c,67.5062,5033.0,8.375
HD 221416 b,95.5483,5080.0,6.043
55 Cnc e,12.5855,5172.0,4.015
Kepler-28 b,438.359,4499.3,12.719
Kepler-76 b,822.96,6409.0,12.092
TOI-1199 b,248.427,5710.0,9.466
HD 189733 b,19.7638,5052.0,5.541
K2-266 b,77.5586,4285.0,8.897
HAT-P-36 b,294.419,5620.0,10.603
K2-131 b,152.509,5120.0,10.051
KOI-94 c,477.052,6182.0,10.926
Kepler-102 e,107.796,4909.0,9.351
Kepler-106 c,444.322,5858.0,11.431
KELT-3 b,210.252,6304.0,8.662
Kepler-24 b,1156.81,6028.0,13.372
Kepler-80 e,369.451,4540.0,12.253
CoRoT-19 b,790.663,6090.0,11.837
Kepler-128 c,396.379,6072.0,10.109
Kepler-289 c,704.438,5990.0,12.508
Kepler-454 b,230.869,5687.0,9.968
HATS-14 b,513.011,5346.0,12.037
K2-18 b,38.0266,3457.0,8.899
GJ 3090 b,22.4751,3556.0,7.294
Kepler-117 b,1455.57,6150.0,13.011
HATS-28 b,535.383,5498.0,12.086
HATS-42 b,800.377,6060.0,12.245
TOI-1437 b,103.297,6008.0,7.817
TOI-2107 b,236.705,5627.0,10.328
HATS-4 b,416.459,5403.0,11.612
Kepler-24 c,1156.81,6028.0,13.372
TOI-1694 b,124.68,5058.0,9.425
TOI-332 b,222.852,5251.0,10.315
HD 63433 b,22.4035,5634.0,5.258
K2-115 b,413.591,5870.0,11.724
K2-39 b,307.47,4881.0,8.516
Kepler-37 d,63.9207,5357.0,7.942
TOI-1670 c,168.067,6170.0,8.724
HD 93963 A c,82.3432,5908.0,7.776
K2-141 c,61.8736,4570.0,8.401
EPIC 229004835 b,121.971,5868.0,8.725
Kepler-107 d,525.997,5854.0,11.06
Kepler-43 b,1005.84,6041.0,12.549
Kepler-49 b,311.222,4095.6,12.383
NGTS-10 b,341.24317438112195,4600.0,11.728
TOI-1451 b,91.9362,5801.0,8.073
TOI-1794 b,155.791,5631.0,8.692
TOI-2109 b,262.041,6540.0,9.07
Gaia-2 b,209.229,5720.0,9.742
Kepler-107 e,525.997,5854.0,11.06
Kepler-323 b,454.883,6004.0,11.354
Kepler-62 e,300.874,4925.0,11.659
TOI-2018 b,27.9956,4174.0,7.104
TOI-480 b,54.5306,6174.0,6.01
BD+20 594 b,179.461,5766.0,9.368
K2-182 b,154.83,5128.0,9.913
TOI-2145 b,224.731,6200.0,7.761
HAT-P-18 b,161.4,4803.0,10.234
HD 17156 b,78.0863,6040.0,6.763
NGTS-14 A b,322.148,5187.0,11.305
NGTS-20 b,382.898,5980.0,9.83
TOI-530 b,148.762,3659.0,11.238
HATS-3 b,411.211,6351.0,10.694
Kepler-56 b,912.994,4840.0,10.227
OGLE-TR-132 b,2012.62,6210.0,14.99
TOI-1789 b,229.067,5991.0,8.345
HATS-16 b,757.044,5738.0,12.28
HD 2685 b,196.852,6801.0,8.595
Qatar-9 b,213.771,4309.0,11.104
TOI-1130 b,58.2609,4360.0,8.351
TOI-1807 b,42.5775,4914.0,7.568
TOI-3919 b,604.591,6100.0,11.502
K2-97 b,878.43,4673.0,10.035
Kepler-30 d,914.221,5498.0,13.581
Kepler-60 d,1025.1,5905.0,12.516
TOI-1279 b,107.055,5457.0,8.887
TOI-1468 b,24.7399,3496.0,8.497
TOI-1742 b,72.8871,5815.0,7.335
Kepler-100 d,304.645,5825.0,9.768
TOI-1470 c,51.9503,3709.0,9.283
TOI-1696 b,64.9172,3185.0,11.331
TOI-2447 b,148.987,5730.0,9.12
TOI-150.01,336.267,6255.0,9.94
K2-36 c,109.749,4916.0,9.454001
KOI-3680 b,921.986,5830.0,13.101
TOI-2019 b,198.007,5626.0,8.598
CoRoTID 223977153 b,576.683,5970.0,12.193
K2-36 b,109.749,4916.0,9.454001
TOI-6255 b,20.3167,3421.0,8.071
HAT-P-40 b,464.469,6080.0,10.009
HATS-58 A b,403.591,7175.0,10.289
Kepler-5 b,899.777,6297.0,11.769
TOI-178 b,62.699,4316.0,8.656
CoRoT-7 b,159.906,5275.0,9.806
HATS-30 b,342.14,5943.0,10.793
Kepler-113 b,262.351,4725.0,11.255
OGLE-TR-56 b,341.24317438112195,6050.0,10.03343479591837
K2-136 d,59.2474,4500.0,8.368
Kepler-85 b,765.025,5505.2,13.083
GJ 414 A b,11.8893,4120.0,4.979
HAT-P-42 b,405.238,5743.0,10.626
KOI-1257 b,341.24317438112195,5520.0,12.726
HAT-P-14 b,222.663,6600.0,8.851
HD 89345 b,132.345,5576.0,7.721
Kepler-10 b,185.506,5708.0,9.496
Kepler-11 b,646.346,5663.0,12.18
Kepler-63 b,194.033,5576.0,9.997
LP 714-47 b,52.616,3950.0,8.626
NGTS-25 b,521.233,5321.0,12.324
TOI-5398 b,130.855,6000.0,8.713
CoRoT-10 b,338.386,5075.0,11.782
HATS-22 b,229.518,4803.0,10.942
KELT-6 b,240.726,6102.0,9.083
HAT-P-65 b,738.519,5872.0,11.528
HD 106315 b,109.353,6327.0,7.853
HIP 9618 b,67.5478,5649.0,7.559
K2-12 b,326.381,5672.0,10.605
Kepler-36 b,527.956,5979.0,10.788
Kepler-432 b,848.023,4995.0,10.121
OGLE2-TR-L9 b,1627.63,6933.0,13.117
HD 118203 b,92.2589,5788.0,6.543
K2-19 c,289.827,5322.0,11.161
K2-199 b,107.518,4491.0,9.625
Kepler-36 c,527.956,5979.0,10.788
TIC 241249530 b,324.448,6166.0,10.192
K2-138 c,202.585,5356.3,10.305
K2-146 c,79.3002,3385.0,11.37
Kepler-409 b,68.173,5421.0,7.768
TOI-286 b,59.2293,5152.0,7.851
HD 207897 b,28.2938,5106.0,6.312
K2-238 b,537.963,5630.0,12.032
Kepler-434 b,1222.54,5977.0,13.039
Kepler-9 c,628.257,5774.0,12.337
TOI-1333 b,200.492,6274.0,8.272
TOI-286 c,59.2293,5152.0,7.851
TOI-6038 A b,179.147,6110.0,8.445
Kepler-11 d,646.346,5663.0,12.18
Kepler-29 b,832.532,5378.0,13.657
TOI-5720 b,35.8256,3325.0,9.288
HATS-7 b,240.707,4985.0,10.976
Kepler-38 b,1174.59,5623.0,12.342
Qatar-3 b,735.601,6007.0,11.219
HAT-P-3 b,134.554,5185.0,9.448
HATS-25 b,471.158,5715.0,11.416
Kepler-289 d,704.438,5990.0,12.508
OGLE-TR-10 b,1344.97,5950.0,12.856
GJ 3470 b,29.4214,3600.0,7.989
Kepler-14 b,341.24317438112195,6395.0,10.988
Kepler-34 b,1800.82,5913.0,13.238
Kepler-62 d,300.874,4925.0,11.659
NGTS-24 b,683.062,5820.0,11.51
Kepler-1658 b,788.238,6216.0,10.195
TOI-1181 b,302.819,6054.0,9.22
TOI-270 d,22.4793,3506.0,8.251
GJ 806 b,12.0445,3600.0,6.533
KOI-1833 d,290.324,4413.0,11.831
Kepler-51 b,783.831,6018.0,13.197
TOI-1450 A b,22.4467,3437.0,7.565
TOI-1811 b,128.23,4766.0,9.643
TOI-1898 b,79.6682,6241.0,6.663
HATS-43 b,362.273,5099.0,11.556
K2-32 b,157.682,5271.0,9.821
Kepler-18 b,433.047,5345.0,11.756
Kepler-423 b,758.753,5560.0,12.779
Kepler-8 b,1021.87,6213.0,12.293
Kepler-87 c,1232.9,5600.0,12.981
EPIC 246851721 b,372.632,6202.0,9.893
KOI-1831 d,501.574,5233.0,12.291
Kepler-31 d,1664.64,6340.0,13.871
TOI-270 c,22.4793,3506.0,8.251
TOI-5108 b,130.919,5808.0,8.3
Kepler-96 b,122.881,5690.0,8.868
TOI-1853 b,165.105,4985.0,10.055
TOI-1801 b,30.6796,3863.0,7.805
Kepler-60 b,1025.1,5905.0,12.516
Qatar-5 b,367.658,5747.0,10.956
KOI-3503 b,887.064,6001.0,12.483
Kepler-10 c,185.506,5708.0,9.496
OGLE-TR-211 b,1515.26,6325.0,13.379
TOI-1749 b,99.5561,3985.0,10.27
TOI-1855 b,176.833,5359.0,9.523
TOI-2154 b,296.46,6280.0,9.85
HATS-41 b,737.668,6424.0,11.498
K2-98 b,518.625,6260.0,10.869
TOI-1710 b,81.2271,5684.0,7.959
TOI-2529 b,296.271,5802.0,9.489
TOI-5301 b,629.161,6240.0,10.336
K2-416 b,120.311,3746.0,10.734
TOI-1246 b,169.422,5151.0,9.907
K2-32 d,157.682,5271.0,9.821
Kepler-1647 b,1212.45,6210.0,12.007
HD 18599 b,38.5653,5145.0,6.883
Kepler-105 c,459.223,5933.0,11.503
Kepler-49 c,311.222,4095.6,12.383
NGTS-2 b,356.391,6478.0,9.799
TOI-1736 b,88.9482,5636.0,7.283
HAT-P-11 b,37.7647,4780.0,7.009
HIP 29442 d,68.192,5289.0,7.587
TOI-1288 b,114.865,5388.0,8.779
HAT-P-15 b,192.516,5568.0,9.641
HATS-40 b,1342.29,6460.0,12.147
HD 28109 b,139.611,6120.0,8.175
Kepler-28 c,438.359,4499.3,12.719
Kepler-48 d,306.738,5194.0,11.221
WASP-14 b,161.997,6475.0,8.621
WASP-129 b,301.462,5900.0,10.412
TOI-663 c,64.2308,3681.0,9.607
WASP-82 b,275.664,6480.0,8.759
WASP-163 b,261.386,5500.0,10.147
WASP-130 b,172.256,5625.0,9.461
WASP-69 b,49.9605,4700.0,7.459
WASP-94 A b,211.211,6170.0,8.874
TOI-969 b,77.2554,4435.0,8.879
TrES-2 b,215.32,5850.0,9.846
WASP-119 b,302.448,5650.0,10.545
WASP-158 b,524.993,6350.0,10.881
WASP-159 b,715.383,6120.0,11.017
WASP-44 b,364.512,5420.0,11.341
TOI-757 b,60.3418,5278.0,7.874
WASP-185 b,279.35,5900.0,9.505
WASP-192 b,508.885,5910.0,11.137
WASP-164 b,327.506,5806.0,10.959
WASP-72 b,434.754,6250.0,9.617
WASP-113 b,435.156,5890.0,10.311
WASP-190 b,542.251,6400.0,10.65
WASP-36 b,386.346,5959.0,11.294
V1298 Tau e,108.199,4941.0,8.094
TrES-4 b,515.98,6200.0,10.33
WASP-135 b,298.214,5675.0,11.037
WASP-52 b,174.818,5000.0,10.086
TOI-776 b,27.1701,3725.0,7.615
WASP-168 b,303.941,6000.0,10.443
TOI-784 b,64.5997,5558.0,7.64
WASP-54 b,251.303,6100.0,9.035
WASP-60 b,431.052,5900.0,10.585
WASP-7 b,162.303,6400.0,8.396
WASP-6 b,197.119,5450.0,10.325
WASP-145 A b,91.299,4900.0,9.194
WASP-41 b,163.371,5545.0,9.677
WASP-49 b,194.553,5600.0,9.749
WASP-63 b,290.684,5550.0,9.393
WASP-65 b,273.703,5600.0,10.346
WASP-123 b,197.996,5740.0,9.362001
WASP-56 b,321.084,5600.0,10.532
WASP-117 b,157.963,6040.0,8.78
WASP-139 b,212.472,5310.0,10.472
TOI-778 b,161.743,6643.0,8.055
WASP-23 b,207.49,5150.0,10.45
WASP-3 b,231.161,6400.0,9.361
WASP-71 b,362.715,6050.0,9.32
TOI-677 b,141.812,6295.0,8.429
WASP-144 b,355.513,5200.0,10.897
WASP-10 b,140.998,4675.0,9.983
XO-5 b,276.211,5430.0,10.345
WASP-35 b,202.218,5990.0,9.525
WASP-124 b,448.637,6050.0,11.31
WASP-31 b,383.829,6302.0,10.65
WASP-87 b,298.392,6450.0,9.552
WASP-11 b,124.73,4800.0,9.421
WASP-114 b,523.337,5940.0,11.074
WASP-88 b,523.756,6430.0,10.322
Wendelstein-1 b,305.3,4251.0,12.198
WASP-167 b,423.552,7000.0,9.76
WASP-55 b,297.462,5900.0,10.396
WASP-92 b,575.889,6280.0,11.519
XO-1 b,163.553,5750.0,9.527
WASP-20 b,211.877,5940.0,9.39
WASP-2 b,153.242,5180.0,9.632
WASP-101 b,201.224,6380.0,9.075
WASP-48 b,454.144,5920.0,10.372
WASP-24 b,322.114,6075.0,10.148
WASP-184 b,663.231,6000.0,11.262
WASP-100 b,364.411,6900.0,9.669
WASP-45 b,211.196,5150.0,10.294
WASP-176 b,568.42,5941.0,10.648
XO-3 b,213.053,6429.0,8.791
WASP-186 b,278.514,6361.0,9.532
TOI-762 A b,98.4458,3266.0,11.084
WASP-173 A b,232.98,5800.0,10.002
WASP-183 b,325.377,5313.0,11.207
WASP-5 b,309.137,5700.0,10.598
WASP-13 b,227.537,5950.0,9.119
WASP-180 A b,253.985,6600.0,9.812
TOI-824 b,63.9262,4600.0,8.432
WASP-148 b,246.353,5555.0,10.506
WASP-73 b,316.678,6030.0,9.028
WASP-95 b,137.544,5830.0,8.564
WASP-89 b,290.946,5130.0,11.004
WASP-156 b,122.066,4987.0,9.339
WASP-26 b,252.759,6034.0,9.69
WASP-142 b,730.933,6010.0,11.442
WASP-150 b,527.995,6218.0,10.747
WASP-22 b,317.652,6000.0,10.318
WASP-169 b,627.066,6110.0,10.483
TOI-837 b,142.488,5995.0,8.933
WASP-32 b,275.994,6140.0,10.161
TrES-3 b,231.337,5650.0,10.608
WASP-66 b,500.258,6600.0,10.452
WASP-162 b,310.841,5300.0,10.466
WASP-105 b,169.272,5070.0,9.935
WASP-99 b,158.66,6150.0,8.088
TOI-6383 A b,171.319,3444.0,12.087
WASP-133 b,559.084,5700.0,11.18
WASP-75 b,294.001,6100.0,10.062
TOI-663 b,64.2308,3681.0,9.607
WASP-15 b,282.091,6300.0,9.693
WASP-97 b,151.068,5640.0,9.03
WASP-67 b,189.469,5200.0,10.129
TOI-849 b,225.734,5257.0,10.418
WASP-16 b,194.134,5700.0,9.589
WASP-106 b,352.181,6055.0,10.161
WASP-90 b,466.433,6430.0,10.248
WASP-93 b,370.284,6700.0,9.942
TOI-776 c,27.1701,3725.0,7.615
WASP-37 b,392.791,5800.0,11.093
WASP-46 b,375.31,5600.0,11.401
WASP-79 b,246.69,6600.0,9.056
TOI-763 b,95.1274,5450.0,8.49
WASP-38 b,136.24,6180.0,7.998
WASP-59 b,115.936,4650.0,9.723
WASP-80 b,49.7876,4143.0,8.351
WASP-61 b,488.66,6250.0,11.008
TOI-663 d,64.2308,3681.0,9.607
WASP-118 b,376.658,6410.0,9.788
WASP-140 b,117.598,5260.0,9.165
WASP-110 b,274.96,5400.0,10.871
WASP-160 B b,288.326,5298.0,11.055
TOI-763 c,95.1274,5450.0,8.49
WASP-138 b,414.234,6272.0,10.494
WASP-96 b,352.464,5540.0,10.914
WASP-187 b,371.414,6150.0,8.79
WASP-171 b,757.84,5965.0,11.104
WASP-182 b,327.602,5638.0,10.431
WASP-25 b,211.416,5750.0,10.174
WASP-4 b,267.206,5400.0,10.746
Wendelstein-2 b,565.541,4591.0,13.332
WASP-74 b,149.216,5990.0,8.221
TrES-5 b,360.313,5171.0,11.591
WASP-136 b,275.587,6260.0,8.805
TOI-892 b,340.543,6261.0,10.106
WASP-104 b,185.932,5475.0,9.882
WASP-34 b,132.096,5700.0,8.792
WASP-141 b,516.543,5900.0,11.194
WASP-177 b,176.818,5017.0,10.163
WASP-70 A b,222.355,5763.0,9.58
WASP-91 b,149.942,4920.0,9.712
WASP-85 A b,141.887,6112.0,8.733
WASP-43 b,86.7467,4400.0,9.267
WASP-147 b,436.098,5702.0,10.857
WASP-161 b,343.08,6400.0,9.837
WASP-103 b,375.647,6110.0,10.767
XO-4 b,272.655,6397.0,9.406
WASP-68 b,226.399,5910.0,8.948
WASP-83 b,271.103,5510.0,10.393
WASP-131 b,200.075,6030.0,8.573
WASP-98 b,281.742,5473.0,11.284
WTS-1 b,2346.01,6250.0,15.271
WASP-81 b,398.505,5870.0,10.892
WASP-42 b,177.291,5315.0,10.033
WASP-58 b,290.404,5800.0,10.285
WASP-120 b,381.174,6450.0,9.877
WASP-172 b,538.11,6900.0,10.13
WASP-8 b,89.9606,5600.0,8.086
TrES-1 b,159.658,5230.0,9.819
WASP-170 b,305.603,5600.0,10.724
Wolf 503 b,44.526,4716.0,7.617
WASP-165 b,602.236,5599.0,11.024
WASP-181 b,437.495,5839.0,11.443
WTS-2 b,341.24317438112195,5000.0,13.414
WASP-175 b,539.36,6229.0,11.471
WASP-50 b,184.848,5400.0,9.969
WASP-57 b,398.276,5600.0,11.244
TOI-669 b,142.867,5597.0,9.134
WASP-64 b,369.926,5400.0,10.956
WASP-62 b,175.631,6230.0,8.944
WASP-29 b,87.5953,4800.0,8.783
WASP-53 b,201.338,4953.0,10.39
