Planet_Name,System_Distance_PC,Star_Temperature_K,System_Infrared_Magnitude
TOI-3023 b,389.916,5760.0,10.243
NGTS-17 b,1040.28,5650.0,12.724
K2-266 d,77.5586,4285.0,8.897
K2-25 b,44.9565,3207.0,10.444
K2-266 e,77.5586,4285.0,8.897
TOI-4201 b,189.011,3794.0,11.368
TOI-5344 b,138.367,3747.0,10.86
TOI-1266 b,36.0118,3618.0,8.84
HATS-37 A b,211.896,5326.0,9.947
HATS-77 b,436.176,4071.0,12.934
L 98-59 d,10.6194,3415.0,7.101
TOI-4463 A b,173.117,5640.0,9.402
K2-100 b,188.959,5945.0,9.182
PH2 b,343.863,5734.0,11.116
TOI-3629 b,130.091,3870.0,10.553
LTT 3780 b,21.9814,3358.0,8.204001
TOI-6130 b,220.882,6110.0,9.655
TOI-2180 b,116.685,5695.0,7.604
TOI-2236 b,355.59,6248.0,9.96
TOI-5616 b,390.415,3996.0,12.735
HAT-P-60 b,233.22,6212.0,8.368
HATS-49 b,324.413,4405.0,11.938
EPIC 249893012 c,321.296,5430.0,9.714
TOI-1062 b,82.1733,5328.0,8.296
TOI-125 c,111.059,5320.0,8.995
TOI-1260 b,73.5977,4227.0,8.95
HAT-P-58 b,515.59,6078.0,10.978
TOI-532 b,135.047,3927.0,10.587
EPIC 249893012 b,321.296,5430.0,9.714
HATS-61 b,679.761,5542.0,11.478
TOI-157 b,355.683,5404.0,10.892
KPS-1 b,262.706,5165.0,10.931
Kepler-1704 b,835.455,5746.0,11.792
L 98-59 c,10.6194,3415.0,7.101
TOI-1201 b,37.8871,3476.0,8.646
Kepler-111 c,657.223,5914.0,12.11
TOI-1221 b,138.411,5592.0,9.036
K2-285 c,154.961,4975.0,9.971
HD 219134 c,6.53127,4699.0,3.261
TOI-3693 b,176.436,5321.0,10.151
TOI-1937 A b,415.135,5814.0,11.226
TOI-3785 b,79.7634,3576.0,10.165
HATS-66 b,1477.98,6626.0,12.761
TOI-2803 A b,494.818,6280.0,11.282
TOI-2818 b,312.674,5721.0,10.403
TOI-2567 b,504.775,5611.0,10.717
TOI-561 d,85.799,5372.0,8.394
EPIC 201595106 b,232.1,5679.0,10.218
GJ 3929 b,15.8095,3384.0,7.869
GJ 486 b,8.07426,3317.0,6.362
TOI-125 d,111.059,5320.0,8.995
G 9-40 b,27.9276,3395.0,9.19
TOI-1452 b,30.5212,3185.0,9.74
