Planet_Mass_Earth,Equilibrium_Temperature,Planet_Radius_Earth,Category,Category_Index,features_cat,rawPrediction,probability,prediction
27.0,975,4.132,Gas Giant,0.0,"[27.0,975.0,4.132]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
225.34147,1743,15.39,Gas Giant,0.0,"[225.34147,1743.0,15.39]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
7.5,412,1.015,Rocky Planet,1.0,"[7.5,412.0,1.015]","[0.0,10.0]","[0.0,1.0]",1.0
200.2319,684,11.063,Gas Giant,0.0,"[200.2319,684.0,11.063]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
68.96876,1036,9.27,Gas Giant,0.0,"[68.96876,1036.0,9.27]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
486.2799,1370,11.097,Gas Giant,0.0,"[486.2799,1370.0,11.097]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
239.32479,1429,11.377,Gas Giant,0.0,"[239.32479,1429.0,11.377]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
150.96925,1496,15.793,Gas Giant,0.0,"[150.96925,1496.0,15.793]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
8.0,2008,2.6,Rocky Planet,1.0,"[8.0,2008.0,2.6]","[0.0,10.0]","[0.0,1.0]",1.0
29.24036,1143,4.977,Gas Giant,0.0,"[29.24036,1143.0,4.977]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
402.05495,1452,13.899,Gas Giant,0.0,"[402.05495,1452.0,13.899]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
4.3,1586,1.364,Rocky Planet,1.0,"[4.3,1586.0,1.364]","[0.0,10.0]","[0.0,1.0]",1.0
375.0394,2085,17.598,Gas Giant,0.0,"[375.0394,2085.0,17.598]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
