Planet_Mass_Earth,Equilibrium_Temperature,Planet_Radius_Earth,Category,Category_Index,features_cat,rawPrediction,probability,prediction
731.00534,605,12.285,Gas Giant,0.0,"[731.00534,605.0,12.285]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
2.46,903,1.325,Rocky Planet,1.0,"[2.46,903.0,1.325]","[0.0,10.0]","[0.0,1.0]",1.0
117.59651,1471,12.845,Gas Giant,0.0,"[117.59651,1471.0,12.845]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
1538.2972,1605,12.801,Gas Giant,0.0,"[1538.2972,1605.0,12.801]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
30.3,1722,3.82,Gas Giant,0.0,"[30.3,1722.0,3.82]","[9.953862229724297,0.04613777027570131]","[0.99538622297243,0.004613777027570132]",0.0
4.04,2130,1.31,Rocky Planet,1.0,"[4.04,2130.0,1.31]","[0.0,10.0]","[0.0,1.0]",1.0
79.77493,555,8.339,Gas Giant,0.0,"[79.77493,555.0,8.339]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
211.99261,1192,13.126,Gas Giant,0.0,"[211.99261,1192.0,13.126]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
317.82,1544,12.22,Gas Giant,0.0,"[317.82,1544.0,12.22]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
7.4,297,1.33,Rocky Planet,1.0,"[7.4,297.0,1.33]","[0.0,10.0]","[0.0,1.0]",1.0
4.3,495,0.861,Rocky Planet,1.0,"[4.3,495.0,0.861]","[0.0,10.0]","[0.0,1.0]",1.0
10.2,714,2.79,Gas Giant,0.0,"[10.2,714.0,2.79]","[8.919771320633389,1.0802286793666105]","[0.891977132063339,0.10802286793666105]",0.0
46.1687,895,6.956,Gas Giant,0.0,"[46.1687,895.0,6.956]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
1910.14873,1180,12.229,Gas Giant,0.0,"[1910.14873,1180.0,12.229]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
638.8351,2097,13.978,Gas Giant,0.0,"[638.8351,2097.0,13.978]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
8.82,431,2.562,Rocky Planet,1.0,"[8.82,431.0,2.562]","[0.0,10.0]","[0.0,1.0]",1.0
5.0,520,1.798,Rocky Planet,1.0,"[5.0,520.0,1.798]","[0.0,10.0]","[0.0,1.0]",1.0
331.801,1428,14.348,Gas Giant,0.0,"[331.801,1428.0,14.348]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
403.945,1689,14.247,Gas Giant,0.0,"[403.945,1689.0,14.247]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
38.0,434,5.45,Gas Giant,0.0,"[38.0,434.0,5.45]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
8.11,642,2.39,Rocky Planet,1.0,"[8.11,642.0,2.39]","[0.0,10.0]","[0.0,1.0]",1.0
624.85065,890,11.489,Gas Giant,0.0,"[624.85065,890.0,11.489]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
77.23269,955,8.967,Gas Giant,0.0,"[77.23269,955.0,8.967]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
206.58846,1000,10.839,Gas Giant,0.0,"[206.58846,1000.0,10.839]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
22.4,1395,3.42,Gas Giant,0.0,"[22.4,1395.0,3.42]","[9.953862229724297,0.04613777027570131]","[0.99538622297243,0.004613777027570132]",0.0
562.24127,2043,15.009,Gas Giant,0.0,"[562.24127,2043.0,15.009]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
2.88,354,2.13,Rocky Planet,1.0,"[2.88,354.0,2.13]","[0.0,10.0]","[0.0,1.0]",1.0
3302.11,1500,11.287,Gas Giant,0.0,"[3302.11,1500.0,11.287]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
