Planet_Name,Semi_Major_Axis_AU,Equilibrium_Temperature,Habitable_Zone_Status
TOI-3884 b,0.0361,441,Not Habitable
TOI-2384 b,0.02793,890,Not Habitable
HD 260655 b,0.02933,709,Not Habitable
TOI-1062 b,0.052,1077,Not Habitable
GJ 486 b,0.01714,696,Not Habitable
TOI-564 b,0.02734,1714,Not Habitable
EPIC 201595106 b,0.0177,2038,Not Habitable
K2-140 b,0.068,962,Not Habitable
K2-285 c,0.0824,741,Not Habitable
Kepler-138 d,0.1288,345,Not Habitable
TOI-2580 b,0.048,2410,Not Habitable
HATS-61 b,0.07908,1226,Not Habitable
K2-285 e,0.18041,501,Not Habitable
TOI-1416 b,0.019,1517,Not Habitable
NGTS-16 b,0.0523,1177,Not Habitable
NGTS-9 b,0.058,1448,Not Habitable
HD 219134 f,0.1463,523,Not Habitable
L 98-59 c,0.0304,553,Not Habitable
HD 5278 b,0.1202,943,Not Habitable
TOI-1899 b,0.1525,378,Not Habitable
HATS-60 b,0.04708,1528,Not Habitable
TOI-5344 b,0.04041,689,Not Habitable
TOI-2095 c,0.137,297,Not Habitable
G 9-40 b,0.0418,441,Not Habitable
HATS-65 b,0.04497,1634,Not Habitable
TOI-3693 b,0.0813,801,Not Habitable
TOI-1260 b,0.0367,871,Not Habitable
K2-329 b,0.1016,650,Not Habitable
TOI-2570 b,0.04145,1431,Not Habitable
TOI-3912 b,0.0463,1512,Not Habitable
TOI-2421 b,0.0543,1534,Not Habitable
TOI-3785 b,0.043,582,Not Habitable
TOI-622 b,0.0708,1388,Not Habitable
TOI-4010 b,0.0229,1441,Not Habitable
GJ 3473 b,0.01589,773,Not Habitable
HD 23472 c,0.1646,467,Not Habitable
TOI-5205 b,0.0199,737,Not Habitable
HATS-68 b,0.05071,1741,Not Habitable
Kepler-553 c,0.898,251,Potentially Habitable
TOI-1266 c,0.1047,354,Not Habitable
TOI-5634 A b,0.0272,837,Not Habitable
HD 136352 c,0.1721,677,Not Habitable
TOI-2364 b,0.04871,1091,Not Habitable
K2-285 b,0.03817,1089,Not Habitable
TOI-2641 b,0.0607,1387,Not Habitable
TOI-2196 b,0.02234,1860,Not Habitable
HIP 116454 b,0.0792,753,Not Habitable
L 98-59 d,0.0486,416,Not Habitable
TOI-4860 b,0.01808,694,Not Habitable
TOI-500 b,0.01189,1617,Not Habitable
HD 219134 b,0.03876,1015,Not Habitable
TOI-2379 b,0.05263,624,Not Habitable
TOI-2587 A b,0.0635,1445,Not Habitable
TOI-5542 b,0.332,441,Not Habitable
HD 23472 b,0.1162,543,Not Habitable
TOI-238 c,0.0749,696,Not Habitable
HD 191939 b,0.0804,880,Not Habitable
K2-419 A b,0.1208,377,Not Habitable
