Planet_Name,System_Distance_PC,Equilibrium_Temperature,System_Infrared_Magnitude
HD 207496 b,23.606,743,5.967
HD 219134 f,6.53127,523,3.261
TOI-3023 b,389.916,1596,10.243
NGTS-17 b,1040.28,1457,12.724
K2-266 d,77.5586,538,8.897
K2-25 b,44.9565,494,10.444
K2-266 e,77.5586,490,8.897
TOI-4201 b,189.011,725,11.368
TOI-5344 b,138.367,689,10.86
TOI-1266 b,36.0118,425,8.84
HATS-37 A b,211.896,1085,9.947
HATS-77 b,436.176,828,12.934
L 98-59 d,10.6194,416,7.101
TOI-4463 A b,173.117,1395,9.402
K2-100 b,188.959,1841,9.182
PH2 b,343.863,295,11.116
TOI-3629 b,130.091,690,10.553
LTT 3780 b,21.9814,903,8.204001
TOI-6130 b,220.882,1750,9.655
TOI-2180 b,116.685,348,7.604
TOI-2236 b,355.59,1688,9.96
TOI-5616 b,390.415,939,12.735
HAT-P-60 b,233.22,1772,8.368
HATS-49 b,324.413,835,11.938
EPIC 249893012 c,321.296,990,9.714
TOI-1062 b,82.1733,1077,8.296
TOI-125 c,111.059,828,8.995
TOI-1260 b,73.5977,871,8.95
HAT-P-58 b,515.59,1622,10.978
TOI-532 b,135.047,867,10.587
EPIC 249893012 b,321.296,1616,9.714
HATS-61 b,679.761,1226,11.478
TOI-157 b,355.683,1588,10.892
KPS-1 b,262.706,1459,10.931
Kepler-1704 b,835.455,254,11.792
L 98-59 c,10.6194,553,7.101
TOI-1201 b,37.8871,703,8.646
Kepler-111 c,657.223,352,12.11
TOI-1221 b,138.411,440,9.036
K2-285 c,154.961,741,9.971
HD 219134 c,6.53127,782,3.261
TOI-3693 b,176.436,801,10.151
TOI-1937 A b,415.135,2097,11.226
TOI-3785 b,79.7634,582,10.165
HATS-66 b,1477.98,1998,12.761
TOI-2803 A b,494.818,1893,11.282
TOI-2818 b,312.674,1376,10.403
TOI-2567 b,504.775,1352,10.717
TOI-561 d,85.799,598,8.394
EPIC 201595106 b,232.1,2038,10.218
GJ 3929 b,15.8095,568,7.869
GJ 486 b,8.07426,696,6.362
TOI-125 d,111.059,638,8.995
G 9-40 b,27.9276,441,9.19
TOI-1452 b,30.5212,326,9.74
TOI-2421 b,327.927,1534,9.667
TOI-6034 b,117.992,714,11.016
TOI-3976 A b,516.087,1295,11.048
K2-3 d,44.0727,305,8.561
TOI-2580 b,379.253,2410,9.877
K2-216 b,115.461,1103,9.721
HATS-48 A b,263.609,955,11.427
TOI-1899 b,128.438,378,10.509
HD 260655 c,10.0055,557,5.862
NGTS-27 b,942.122,1783,11.859
TOI-3688 A b,396.378,1534,10.732
HATS-74 A b,299.389,895,12.361
TOI-2015 b,47.3444,512,10.263
TOI-2583 A b,566.189,1456,11.245
HATS-47 b,300.67,853,11.926
TOI-561 b,85.799,2310,8.394
HD 191939 c,53.6089,600,7.18
GJ 3473 b,27.3644,773,8.829001
LTT 3780 c,21.9814,359,8.204001
NGTS-12 b,446.442,1257,10.588
TOI-2570 b,361.857,1431,10.905
TOI-2842 b,460.995,1471,11.062
TOI-2379 b,211.247,624,11.477
NGTS-13 b,647.595,1605,11.141
TOI-2134 b,22.6202,666,6.091
TOI-2136 b,33.3631,395,9.343
TOI-5542 b,348.849,441,10.897
TOI-5634 A b,306.144,837,12.913
TOI-674 b,46.0851,635,9.469
TOI-6651 b,212.128,1493,8.684
WASP-18 b,123.483,2429,8.131
WASP-132 b,122.91,682,9.674
TOI-905 b,158.649,1192,9.448
WASP-193 b,362.087,1254,10.745
TOI-908 b,175.748,1317,9.637
TOI-858 B b,250.489,1529,9.722
TOI-815 b,59.7117,686,7.999
TOI-782 b,52.5122,435,9.86
TOI-815 c,59.7117,469,7.999
WASP-19 b,268.325,2113,10.481
XO-7 b,234.149,1743,9.241
WASP-174 b,410.149,1528,10.579
WASP-166 b,114.173,1270,8.032
Wolf 327 b,28.5321,996,8.435
TOI-836 b,27.5024,871,6.804
TOI-836 c,27.5024,665,6.804
WASP-77 A b,105.166,1715,8.405
TOI-733 b,75.2092,1056,7.845
TOI-954 b,238.768,1526,8.779
WASP-153 b,610.176,1700,11.051
WASP-132 c,122.91,1329,9.674
HD 110067 g,32.1585,440,6.492
Kepler-80 b,369.451,1102,12.253
CoRoT-31 b,2005.76,1102,13.426
K2-233 b,67.5062,1121,8.375
TOI-2524 b,438.842,1100,11.198
CoRoT-8 b,322.037,1102,11.463
Kepler-305 d,868.477,1102,13.702
Kepler-413 b,847.536,1102,13.415
OGLE-TR-113 b,566.459,1102,10.03343479591837
TOI-1749 c,99.5561,673,10.27
HAT-P-1 b,158.979,1322,8.858
KOI-94 d,477.052,806,10.926
Kepler-18 c,433.047,1102,11.756
Kepler-79 d,1020.72,1102,12.606
CoRoT-6 b,645.294,1017,12.119
Kepler-426 b,843.695,1300,13.212
Kepler-44 b,1188.0,1544,12.878
Kepler-97 b,400.907,1102,11.345
Qatar-6 b,100.848,1006,9.226
HAT-P-24 b,415.344,1102,10.543
HAT-P-54 b,143.651,818,10.326
K2-32 c,157.682,634,9.821
NGTS-23 b,1074.95,1327,12.73
Qatar-2 b,181.374,1344,10.619
TOI-2337 b,536.046,1102,9.678001
TOI-2525 c,395.398,1102,11.905
CoRoT-16 b,732.409,1102,12.847
GJ 1252 b,20.373,1102,7.915
HD 15337 b,44.8155,1001,7.044
HD 21749 c,16.32,701,5.375
K2-261 b,213.283,1036,8.89
TOI-1298 b,319.036,1278,10.012
TOI-1669 c,111.276,1285,8.462
TOI-2025 b,335.985,1166,10.01
