Planet_Name,System_Distance_PC,Equilibrium_Temperature,System_Infrared_Magnitude
TOI-1248 b,168.735,952,9.87
K2-111 b,200.394,1309,9.377
Kepler-103 c,494.832,434,10.873
TOI-1235 b,39.6345,1102,7.893
TOI-251 b,99.523,1102,8.426
HATS-57 b,279.485,1413,10.707
K2-146 b,79.3002,1102,11.37
K2-199 c,107.518,694,9.625
Kepler-17 b,720.753,1570,12.585
TOI-2076 b,41.9091,688,7.115
HAT-P-31 b,344.05,1102,10.083
HIP 94235 b,58.5146,1060,6.881
Kepler-107 c,525.997,1378,11.06
Kepler-1708 b,1666.69,1102,14.089
TOI-2076 c,41.9091,543,7.115
HAT-P-45 b,298.64,1652,10.201
HD 152843 b,107.898,1102,7.629
HD 15337 c,44.8155,642,7.044
KELT-16 b,444.586,2453,10.642
Kepler-101 c,927.981,1413,12.011
HD 213885 b,48.0883,2128,6.419
HD 28109 c,139.611,585,8.175
Kepler-23 c,835.756,1102,11.998
Kepler-32 c,323.847,1102,12.757
NGTS-6 b,308.262,1284,11.65
TOI-544 b,41.1166,999,7.8
LHS 1478 b,18.2276,595,8.767
K2-141 b,61.8736,2103,8.401
Kepler-29 c,832.532,1102,13.657
Kepler-40 b,2305.01,1620,13.27
CoRoT-29 b,806.507,1102,13.048
HATS-5 b,246.384,1025,10.703
HATS-52 b,555.134,1834,12.114
Kepler-41 b,1093.08,1790,12.892
Kepler-75 b,835.356,767,13.118
TOI-1246 c,169.422,862,9.907
K2-31 b,110.527,1102,8.866
Kepler-100 c,304.645,1102,9.768
Kepler-447 b,268.041,1102,10.806
TOI-178 c,62.699,873,8.656
HAT-P-56 b,320.639,1102,9.83
HD 93963 A b,82.3432,1842,7.776
Qatar-1 b,185.615,1418,10.409
TOI-1386 b,146.858,615,9.086
TOI-1820 b,248.504,1375,9.508
TOI-2374 b,134.655,885,9.793
TOI-1075 b,61.4592,1323,9.115
TOI-421 b,74.7969,922,8.071
HAT-P-52 b,361.155,1218,11.621
HD 110067 c,32.1585,699,6.492
K2-265 b,138.671,1366,9.259
NGTS-4 b,280.555,1650,11.073
TOI-1601 b,336.608,1494,9.191
TOI-481 b,179.366,1370,8.443
TOI-5005 b,207.891,1040,10.004
K2-233 c,67.5062,790,8.375
HD 221416 b,95.5483,1102,6.043
55 Cnc e,12.5855,1102,4.015
Kepler-28 b,438.359,1102,12.719
Kepler-76 b,822.96,2140,12.092
TOI-1199 b,248.427,1486,9.466
HD 189733 b,19.7638,1102,5.541
K2-266 b,77.5586,1515,8.897
HAT-P-36 b,294.419,1781,10.603
K2-131 b,152.509,2223,10.051
KOI-94 c,477.052,1012,10.926
Kepler-102 e,107.796,590,9.351
Kepler-106 c,444.322,1102,11.431
KELT-3 b,210.252,1102,8.662
Kepler-24 b,1156.81,1102,13.372
Kepler-80 e,369.451,1102,12.253
CoRoT-19 b,790.663,2000,11.837
Kepler-128 c,396.379,1102,10.109
Kepler-289 c,704.438,1102,12.508
Kepler-454 b,230.869,916,9.968
HATS-14 b,513.011,1276,12.037
K2-18 b,38.0266,284,8.899
GJ 3090 b,22.4751,693,7.294
Kepler-117 b,1455.57,984,13.011
HATS-28 b,535.383,1253,12.086
HATS-42 b,800.377,1856,12.245
TOI-1437 b,103.297,1102,7.817
TOI-2107 b,236.705,1397,10.328
HATS-4 b,416.459,1315,11.612
Kepler-24 c,1156.81,1102,13.372
TOI-1694 b,124.68,943,9.425
TOI-332 b,222.852,1871,10.315
HD 63433 b,22.4035,886,5.258
K2-115 b,413.591,696,11.724
K2-39 b,307.47,1102,8.516
Kepler-37 d,63.9207,499,7.942
TOI-1670 c,168.067,684,8.724
HD 93963 A c,82.3432,1212,7.776
K2-141 c,61.8736,695,8.401
EPIC 229004835 b,121.971,804,8.725
Kepler-107 d,525.997,1173,11.06
Kepler-43 b,1005.84,1620,12.549
Kepler-49 b,311.222,1102,12.383
NGTS-10 b,341.24317438112195,1332,11.728
TOI-1451 b,91.9362,723,8.073
TOI-1794 b,155.791,993,8.692
TOI-2109 b,262.041,3646,9.07
Gaia-2 b,209.229,1102,9.742
Kepler-107 e,525.997,955,11.06
Kepler-323 b,454.883,1838,11.354
Kepler-62 e,300.874,270,11.659
TOI-2018 b,27.9956,1102,7.104
TOI-480 b,54.5306,1199,6.01
BD+20 594 b,179.461,1102,9.368
K2-182 b,154.83,966,9.913
TOI-2145 b,224.731,1363,7.761
HAT-P-18 b,161.4,852,10.234
HD 17156 b,78.0863,1102,6.763
NGTS-14 A b,322.148,1143,11.305
NGTS-20 b,382.898,688,9.83
TOI-530 b,148.762,565,11.238
HATS-3 b,411.211,1648,10.694
Kepler-56 b,912.994,1102,10.227
OGLE-TR-132 b,2012.62,2013,14.99
TOI-1789 b,229.067,1927,8.345
HATS-16 b,757.044,1592,12.28
HD 2685 b,196.852,2061,8.595
Qatar-9 b,213.771,1134,11.104
TOI-1130 b,58.2609,825,8.351
TOI-1807 b,42.5775,1694,7.568
TOI-3919 b,604.591,1198,11.502
K2-97 b,878.43,1566,10.035
Kepler-30 d,914.221,1102,13.581
Kepler-60 d,1025.1,1102,12.516
TOI-1279 b,107.055,759,8.887
TOI-1468 b,24.7399,682,8.497
TOI-1742 b,72.8871,694,7.335
Kepler-100 d,304.645,1102,9.768
TOI-1470 c,51.9503,373,9.283
TOI-1696 b,64.9172,489,11.331
TOI-2447 b,148.987,414,9.12
TOI-150.01,336.267,1404,9.94
K2-36 c,109.749,854,9.454001
KOI-3680 b,921.986,347,13.101
TOI-2019 b,198.007,917,8.598
CoRoTID 223977153 b,576.683,938,12.193
K2-36 b,109.749,1328,9.454001
TOI-6255 b,20.3167,1102,8.071
HAT-P-40 b,464.469,1102,10.009
HATS-58 A b,403.591,1721,10.289
Kepler-5 b,899.777,1750,11.769
TOI-178 b,62.699,1040,8.656
CoRoT-7 b,159.906,1102,9.806
HATS-30 b,342.14,1414,10.793
Kepler-113 b,262.351,1102,11.255
OGLE-TR-56 b,341.24317438112195,2212,10.03343479591837
K2-136 d,59.2474,420,8.368
Kepler-85 b,765.025,1102,13.083
GJ 414 A b,11.8893,309,4.979
HAT-P-42 b,405.238,1428,10.626
KOI-1257 b,341.24317438112195,511,12.726
HAT-P-14 b,222.663,1102,8.851
HD 89345 b,132.345,1089,7.721
Kepler-10 b,185.506,2188,9.496
Kepler-11 b,646.346,1102,12.18
Kepler-63 b,194.033,1102,9.997
LP 714-47 b,52.616,700,8.626
NGTS-25 b,521.233,1101,12.324
TOI-5398 b,130.855,947,8.713
CoRoT-10 b,338.386,600,11.782
HATS-22 b,229.518,858,10.942
KELT-6 b,240.726,1102,9.083
HAT-P-65 b,738.519,1818,11.528
HD 106315 b,109.353,1153,7.853
HIP 9618 b,67.5478,641,7.559
K2-12 b,326.381,1026,10.605
Kepler-36 b,527.956,1102,10.788
Kepler-432 b,848.023,1102,10.121
OGLE2-TR-L9 b,1627.63,1102,13.117
HD 118203 b,92.2589,1371,6.543
K2-19 c,289.827,1102,11.161
K2-199 b,107.518,913,9.625
Kepler-36 c,527.956,1102,10.788
TIC 241249530 b,324.448,1102,10.192
K2-138 c,202.585,1102,10.305
K2-146 c,79.3002,1102,11.37
Kepler-409 b,68.173,438,7.768
TOI-286 b,59.2293,979,7.851
HD 207897 b,28.2938,582,6.312
K2-238 b,537.963,1587,12.032
Kepler-434 b,1222.54,1000,13.039
Kepler-9 c,628.257,1102,12.337
TOI-1333 b,200.492,1679,8.272
TOI-286 c,59.2293,475,7.851
TOI-6038 A b,179.147,1439,8.445
Kepler-11 d,646.346,1102,12.18
Kepler-29 b,832.532,1102,13.657
TOI-5720 b,35.8256,708,9.288
HATS-7 b,240.707,1084,10.976
Kepler-38 b,1174.59,475,12.342
Qatar-3 b,735.601,1681,11.219
HAT-P-3 b,134.554,1102,9.448
HATS-25 b,471.158,1277,11.416
Kepler-289 d,704.438,1102,12.508
OGLE-TR-10 b,1344.97,1102,12.856
GJ 3470 b,29.4214,594,7.989
Kepler-14 b,341.24317438112195,1102,10.988
Kepler-34 b,1800.82,1102,13.238
Kepler-62 d,300.874,510,11.659
NGTS-24 b,683.062,1499,11.51
Kepler-1658 b,788.238,1102,10.195
TOI-1181 b,302.819,1102,9.22
TOI-270 d,22.4793,387,8.251
GJ 806 b,12.0445,940,6.533
KOI-1833 d,290.324,613,11.831
Kepler-51 b,783.831,543,13.197
TOI-1450 A b,22.4467,722,7.565
TOI-1811 b,128.23,962,9.643
TOI-1898 b,79.6682,675,6.663
HATS-43 b,362.273,1003,11.556
K2-32 b,157.682,837,9.821
Kepler-18 b,433.047,1102,11.756
Kepler-423 b,758.753,1605,12.779
Kepler-8 b,1021.87,1680,12.293
Kepler-87 c,1232.9,403,12.981
EPIC 246851721 b,372.632,1401,9.893
KOI-1831 d,501.574,475,12.291
Kepler-31 d,1664.64,1102,13.871
TOI-270 c,22.4793,488,8.251
TOI-5108 b,130.919,1180,8.3
Kepler-96 b,122.881,1102,8.868
TOI-1853 b,165.105,1479,10.055
TOI-1801 b,30.6796,494,7.805
Kepler-60 b,1025.1,1102,12.516
Qatar-5 b,367.658,1415,10.956
KOI-3503 b,887.064,785,12.483
Kepler-10 c,185.506,578,9.496
OGLE-TR-211 b,1515.26,1102,13.379
TOI-1749 b,99.5561,831,10.27
TOI-1855 b,176.833,1701,9.523
TOI-2154 b,296.46,1580,9.85
HATS-41 b,737.668,1710,11.498
K2-98 b,518.625,1185,10.869
TOI-1710 b,81.2271,603,7.959
TOI-2529 b,296.271,636,9.489
TOI-5301 b,629.161,1648,10.336
K2-416 b,120.311,447,10.734
TOI-1246 b,169.422,955,9.907
K2-32 d,157.682,550,9.821
Kepler-1647 b,1212.45,1102,12.007
HD 18599 b,38.5653,1102,6.883
Kepler-105 c,459.223,1102,11.503
Kepler-49 c,311.222,1102,12.383
NGTS-2 b,356.391,1468,9.799
TOI-1736 b,88.9482,1100,7.283
HAT-P-11 b,37.7647,847,7.009
HIP 29442 d,68.192,920,7.587
TOI-1288 b,114.865,1203,8.779
HAT-P-15 b,192.516,1102,9.641
HATS-40 b,1342.29,2101,12.147
HD 28109 b,139.611,881,8.175
Kepler-28 c,438.359,1102,12.719
Kepler-48 d,306.738,1102,11.221
WASP-14 b,161.997,1102,8.621
WASP-129 b,301.462,1100,10.412
TOI-663 c,64.2308,553,9.607
WASP-82 b,275.664,1102,8.759
WASP-163 b,261.386,1638,10.147
WASP-130 b,172.256,833,9.461
WASP-69 b,49.9605,1102,7.459
WASP-94 A b,211.211,1102,8.874
TOI-969 b,77.2554,941,8.879
TrES-2 b,215.32,1102,9.846
WASP-119 b,302.448,1600,10.545
WASP-158 b,524.993,1590,10.881
WASP-159 b,715.383,1850,11.017
WASP-44 b,364.512,1337,11.341
TOI-757 b,60.3418,641,7.874
WASP-185 b,279.35,1160,9.505
WASP-192 b,508.885,1620,11.137
WASP-164 b,327.506,1610,10.959
WASP-72 b,434.754,1102,9.617
WASP-113 b,435.156,1496,10.311
WASP-190 b,542.251,1500,10.65
WASP-36 b,386.346,1733,11.294
V1298 Tau e,108.199,1102,8.094
TrES-4 b,515.98,1102,10.33
WASP-135 b,298.214,1102,11.037
WASP-52 b,174.818,1315,10.086
TOI-776 b,27.1701,520,7.615
WASP-168 b,303.941,1340,10.443
TOI-784 b,64.5997,1102,7.64
WASP-54 b,251.303,1102,9.035
WASP-60 b,431.052,1102,10.585
WASP-7 b,162.303,1487,8.396
WASP-6 b,197.119,1102,10.325
WASP-145 A b,91.299,1200,9.194
WASP-41 b,163.371,1102,9.677
WASP-49 b,194.553,1102,9.749
WASP-63 b,290.684,1102,9.393
WASP-65 b,273.703,1480,10.346
WASP-123 b,197.996,1520,9.362001
WASP-56 b,321.084,1102,10.532
WASP-117 b,157.963,1102,8.78
WASP-139 b,212.472,910,10.472
TOI-778 b,161.743,1561,8.055
WASP-23 b,207.49,1102,10.45
WASP-3 b,231.161,1102,9.361
WASP-71 b,362.715,1102,9.32
TOI-677 b,141.812,1252,8.429
WASP-144 b,355.513,1260,10.897
WASP-10 b,140.998,1370,9.983
XO-5 b,276.211,1230,10.345
WASP-35 b,202.218,1102,9.525
WASP-124 b,448.637,1400,11.31
WASP-31 b,383.829,1102,10.65
WASP-87 b,298.392,1102,9.552
WASP-11 b,124.73,1102,9.421
WASP-114 b,523.337,2043,11.074
WASP-88 b,523.756,1102,10.322
Wendelstein-1 b,305.3,2198,12.198
WASP-167 b,423.552,2329,9.76
WASP-55 b,297.462,1102,10.396
WASP-92 b,575.889,1871,11.519
XO-1 b,163.553,1102,9.527
WASP-20 b,211.877,1379,9.39
WASP-2 b,153.242,1311,9.632
WASP-101 b,201.224,1102,9.075
WASP-48 b,454.144,1102,10.372
WASP-24 b,322.114,1102,10.148
WASP-184 b,663.231,1480,11.262
WASP-100 b,364.411,1102,9.669
WASP-45 b,211.196,1153,10.294
WASP-176 b,568.42,1721,10.648
XO-3 b,213.053,1102,8.791
WASP-186 b,278.514,1102,9.532
TOI-762 A b,98.4458,555,11.084
WASP-173 A b,232.98,1880,10.002
WASP-183 b,325.377,1111,11.207
WASP-5 b,309.137,1706,10.598
WASP-13 b,227.537,1102,9.119
WASP-180 A b,253.985,1540,9.812
TOI-824 b,63.9262,1253,8.432
WASP-148 b,246.353,1102,10.506
WASP-73 b,316.678,1102,9.028
WASP-95 b,137.544,1102,8.564
WASP-89 b,290.946,1120,11.004
WASP-156 b,122.066,934,9.339
WASP-26 b,252.759,1102,9.69
WASP-142 b,730.933,2000,11.442
WASP-150 b,527.995,1460,10.747
WASP-22 b,317.652,1102,10.318
WASP-169 b,627.066,1604,10.483
TOI-837 b,142.488,995,8.933
WASP-32 b,275.994,1102,10.161
TrES-3 b,231.337,1102,10.608
WASP-66 b,500.258,1102,10.452
WASP-162 b,310.841,910,10.466
WASP-105 b,169.272,900,9.935
WASP-99 b,158.66,1102,8.088
TOI-6383 A b,171.319,745,12.087
WASP-133 b,559.084,1790,11.18
WASP-75 b,294.001,1710,10.062
TOI-663 b,64.2308,674,9.607
WASP-15 b,282.091,1102,9.693
WASP-97 b,151.068,1102,9.03
WASP-67 b,189.469,1102,10.129
TOI-849 b,225.734,1102,10.418
WASP-16 b,194.134,1102,9.589
WASP-106 b,352.181,1102,10.161
WASP-90 b,466.433,1840,10.248
WASP-93 b,370.284,1942,9.942
TOI-776 c,27.1701,420,7.615
WASP-37 b,392.791,1102,11.093
WASP-46 b,375.31,1636,11.401
WASP-79 b,246.69,1716,9.056
TOI-763 b,95.1274,1038,8.49
WASP-38 b,136.24,1102,7.998
WASP-59 b,115.936,670,9.723
WASP-80 b,49.7876,825,8.351
WASP-61 b,488.66,1102,11.008
TOI-663 d,64.2308,482,9.607
WASP-118 b,376.658,1729,9.788
WASP-140 b,117.598,1320,9.165
WASP-110 b,274.96,1102,10.871
WASP-160 B b,288.326,1119,11.055
TOI-763 c,95.1274,800,8.49
WASP-138 b,414.234,1590,10.494
WASP-96 b,352.464,1285,10.914
WASP-187 b,371.414,1102,8.79
WASP-171 b,757.84,1642,11.104
WASP-182 b,327.602,1479,10.431
WASP-25 b,211.416,1102,10.174
WASP-4 b,267.206,1102,10.746
Wendelstein-2 b,565.541,2470,13.332
WASP-74 b,149.216,1102,8.221
TrES-5 b,360.313,1480,11.591
WASP-136 b,275.587,1742,8.805
TOI-892 b,340.543,1397,10.106
WASP-104 b,185.932,1516,9.882
WASP-34 b,132.096,1102,8.792
WASP-141 b,516.543,1540,11.194
WASP-177 b,176.818,1142,10.163
WASP-70 A b,222.355,1387,9.58
WASP-91 b,149.942,1160,9.712
WASP-85 A b,141.887,1452,8.733
WASP-43 b,86.7467,1102,9.267
WASP-147 b,436.098,1404,10.857
WASP-161 b,343.08,1557,9.837
WASP-103 b,375.647,2508,10.767
XO-4 b,272.655,1102,9.406
WASP-68 b,226.399,1102,8.948
WASP-83 b,271.103,1120,10.393
WASP-131 b,200.075,1460,8.573
WASP-98 b,281.742,1171,11.284
WTS-1 b,2346.01,1500,15.271
WASP-81 b,398.505,1623,10.892
WASP-42 b,177.291,1021,10.033
WASP-58 b,290.404,1102,10.285
WASP-120 b,381.174,1880,9.877
WASP-172 b,538.11,1740,10.13
WASP-8 b,89.9606,1102,8.086
TrES-1 b,159.658,1102,9.819
WASP-170 b,305.603,1422,10.724
Wolf 503 b,44.526,789,7.617
WASP-165 b,602.236,1624,11.024
WASP-181 b,437.495,1186,11.443
WTS-2 b,341.24317438112195,2000,13.414
WASP-175 b,539.36,1571,11.471
WASP-50 b,184.848,1395,9.969
WASP-57 b,398.276,1338,11.244
TOI-669 b,142.867,1125,9.134
WASP-64 b,369.926,1689,10.956
WASP-62 b,175.631,1102,8.944
WASP-29 b,87.5953,1102,8.783
WASP-53 b,201.338,1053,10.39
