Planet_Name,Orbital_Eccentricity,Equilibrium_Temperature,Orbit_Type
TOI-1062 b,0.177,1077,Circular/Stable
GJ 486 b,8.6E-4,696,Circular/Stable
TOI-564 b,0.072,1714,Circular/Stable
EPIC 201595106 b,0,2038,Circular/Stable
K2-140 b,0,962,Circular/Stable
K2-285 c,0,741,Circular/Stable
Kepler-138 d,0.01,345,Circular/Stable
TOI-2580 b,0.08,2410,Circular/Stable
HATS-61 b,0.092,1226,Circular/Stable
K2-285 e,0,501,Circular/Stable
TOI-1416 b,0,1517,Circular/Stable
NGTS-16 b,0,1177,Circular/Stable
NGTS-9 b,0.06,1448,Circular/Stable
HD 219134 f,0.148,523,Circular/Stable
L 98-59 c,0.103,553,Circular/Stable
HD 5278 b,0.08,943,Circular/Stable
TOI-1899 b,0.044,378,Circular/Stable
HATS-60 b,0.191,1528,Circular/Stable
TOI-5344 b,0.054,689,Circular/Stable
TOI-2095 c,0,297,Circular/Stable
G 9-40 b,0,441,Circular/Stable
HATS-65 b,0.062,1634,Circular/Stable
TOI-3693 b,0,801,Circular/Stable
TOI-1260 b,0,871,Circular/Stable
K2-329 b,0.0697,650,Circular/Stable
TOI-2570 b,0,1431,Circular/Stable
TOI-3912 b,0,1512,Circular/Stable
TOI-2421 b,0,1534,Circular/Stable
TOI-3785 b,0.11,582,Circular/Stable
TOI-622 b,0.42,1388,Highly Eccentric
TOI-4010 b,0.03,1441,Circular/Stable
GJ 3473 b,0,773,Circular/Stable
HD 23472 c,0.063,467,Circular/Stable
TOI-5205 b,0.02,737,Circular/Stable
HATS-68 b,0.036,1741,Circular/Stable
Kepler-553 c,0.346,251,Highly Eccentric
TOI-1266 c,0.34,354,Highly Eccentric
TOI-5634 A b,0,837,Circular/Stable
HD 136352 c,0,677,Circular/Stable
TOI-2364 b,0,1091,Circular/Stable
K2-285 b,0,1089,Circular/Stable
TOI-2641 b,0.18,1387,Circular/Stable
TOI-2196 b,0,1860,Circular/Stable
HIP 116454 b,0.215,753,Circular/Stable
L 98-59 d,0.074,416,Circular/Stable
TOI-4860 b,0.008,694,Circular/Stable
TOI-500 b,0.063,1617,Circular/Stable
HD 219134 b,0,1015,Circular/Stable
TOI-2379 b,0.342,624,Highly Eccentric
TOI-2587 A b,0,1445,Circular/Stable
TOI-5542 b,0.018,441,Circular/Stable
HD 23472 b,0.072,543,Circular/Stable
TOI-238 c,0.36,696,Highly Eccentric
HD 191939 b,0.031,880,Circular/Stable
K2-419 A b,0.042,377,Circular/Stable
TOI-2000 c,0.063,1038,Circular/Stable
TOI-4127 b,0.7471,605,Highly Eccentric
HATS-38 b,0,1294,Circular/Stable
KELT-18 b,0,2085,Circular/Stable
TOI-1260 c,0,651,Circular/Stable
TOI-1728 b,0.057,767,Circular/Stable
TOI-2180 b,0.3683,348,Highly Eccentric
HD 20329 b,0,2141,Circular/Stable
HAT-P-62 b,0.101,1512,Circular/Stable
TOI-1064 c,0.088,634,Circular/Stable
HATS-62 b,0.298,1237,Circular/Stable
EPIC 249893012 d,0.15,752,Circular/Stable
TOI-257 b,0,1027,Circular/Stable
TOI-3714 b,0.03,750,Circular/Stable
TOI-4087 b,0,1458,Circular/Stable
EPIC 249893012 b,0.06,1616,Circular/Stable
