Star_Temperature_K,Star_Radius_Solar,Star_Mass_Solar
5585.0,0.95,0.96
5710.0,1.89,1.2
5914.0,1.73,1.34
4686.0,0.76,0.79
5266.0,0.79,0.8
4540.0,0.68,0.73
5700.0,2.15,1.25
5033.0,0.71,0.79
5831.0,1.12,1.01
5080.0,0.77,0.88
5090.0,0.79,0.83
4700.0,0.78,0.82
4790.0,0.77,0.78
3985.0,0.55,0.58
5980.0,1.17,1.15
6182.0,1.52,1.28
5345.0,1.11,0.97
6174.0,1.3,1.17
6090.0,1.02,1.05
5725.0,0.92,0.91
5800.0,1.35,1.12
5779.0,0.98,0.94
5052.0,0.72,0.82
6373.0,1.38,1.37
4390.0,0.62,0.65
5271.0,0.86,0.83
6057.0,1.24,1.01
4645.0,0.78,0.74
4780.0,3.22,1.32
5096.0,0.79,0.85
5650.0,1.19,1.1
3458.0,0.39,0.38
5125.0,0.86,0.9
4640.0,0.69,0.73
5490.0,1.66,1.11
5752.0,1.45,1.22
5497.0,1.06,0.99
5977.0,1.46,1.2
5673.0,1.41,1.12
3491.0,0.46,0.45
5850.0,1.55,1.04
5650.0,0.91,0.98
6302.0,1.51,1.19
5425.0,0.84,0.9
5858.0,1.04,1.0
5933.0,1.97,1.36
5970.0,1.31,0.94
5360.0,0.85,0.9
6466.0,1.5,1.35
4950.0,0.86,0.91
4782.0,0.73,0.79
4987.0,0.74,0.66
5213.0,0.86,0.89
5614.0,1.53,1.07
6440.0,1.37,1.27
5495.0,0.85,0.92
5950.0,1.11,0.95
5939.0,1.14,1.1
5825.0,1.49,1.08
5871.0,1.04,1.09
5261.0,0.88,0.84
5942.0,1.11,0.99
5495.0,0.92,0.93
5495.0,0.92,0.93
5050.0,0.83,0.86
5485.0,0.94,0.91
5356.3,0.86,0.94
6001.0,1.25,0.86
6018.0,0.94,1.04
5675.0,1.12,1.08
6125.0,1.12,1.07
4840.0,3.85,1.08
5847.0,1.26,1.06
4660.0,0.86,0.72
5757.0,1.15,1.01
4316.0,0.65,0.65
5500.0,1.12,0.97
6651.0,1.49,1.47
6630.0,1.61,1.52
5356.3,0.86,0.94
5956.0,1.21,1.09
4900.0,3.13,1.17
4650.0,0.7,0.73
5191.0,0.9,0.89
3643.0,0.5,0.5
3388.8,0.37,0.39
5905.0,1.2,1.13
5770.0,1.65,1.18
5600.0,0.93,1.02
3322.0,0.35,0.34
6154.0,1.16,1.19
5665.0,1.25,1.07
6389.0,2.0,1.56
5758.0,1.44,1.19
5799.0,1.59,1.04
6018.0,0.94,1.04
6148.0,1.03,1.03
4075.0,0.52,0.54
5433.0,0.86,0.95
5700.0,1.1,1.1
5621.0,1.23,1.05
6310.0,1.43,1.15
5685.0,1.03,1.02
6300.0,1.4,1.24
5289.0,0.98,0.9
5649.0,0.96,0.94
5513.0,0.96,0.94
5356.3,0.86,0.94
4725.0,0.69,0.75
6124.0,1.25,1.16
5291.0,0.87,0.83
5900.0,1.61,1.14
3405.0,0.48,0.49
5960.0,1.12,1.04
6570.0,1.62,1.79
5561.0,1.04,1.15
5065.0,0.79,0.88
5840.0,1.02,0.98
6223.0,2.34,1.55
5959.0,1.22,1.18
6040.0,1.19,1.09
5345.0,1.11,0.97
6340.0,1.22,1.21
5165.0,0.81,0.88
6214.0,1.13,1.2
5663.0,1.06,0.96
5491.0,0.95,0.94
5808.0,1.24,1.12
6327.0,1.3,1.09
5266.0,0.79,0.8
5322.0,0.82,0.88
5460.0,0.94,1.01
5663.0,1.06,0.96
5213.0,0.86,0.89
5284.0,0.83,0.92
5600.0,1.02,1.04
5010.0,0.71,0.74
6860.0,1.75,1.64
5667.0,1.56,1.17
6004.0,1.12,1.01
5857.0,1.49,1.22
3861.0,0.58,0.57
5788.0,1.09,1.03
6237.0,1.65,1.25
5588.0,1.21,1.24
5367.0,0.81,0.91
5597.0,1.05,0.95
5470.0,0.95,0.95
4595.0,0.69,0.76
5600.0,1.82,1.1
5300.0,0.92,0.96
6532.0,1.83,1.45
5625.0,0.96,0.96
6353.0,1.42,1.25
5271.0,0.86,0.83
5922.0,1.14,1.08
3575.0,0.46,0.45
4962.0,0.77,0.81
5861.0,1.54,1.25
4444.0,0.7,0.74
5495.0,0.92,0.93
6039.0,2.03,1.46
5080.0,0.85,0.86
5596.0,0.87,0.86
4850.0,0.73,0.78
3820.0,0.55,0.59
6250.0,1.21,1.13
5495.0,0.92,0.93
6158.0,1.24,1.22
5863.0,1.05,1.02
6000.0,1.05,1.15
5670.0,1.07,1.03
6128.0,1.27,1.16
5705.0,1.14,1.05
5858.0,1.04,1.0
3914.0,0.51,0.54
5972.0,1.24,1.15
6146.0,1.26,1.2
5266.0,0.79,0.8
4500.0,0.68,0.74
5194.0,0.89,0.88
5905.0,1.26,1.12
5194.0,0.89,0.88
4969.0,0.72,0.78
6035.0,1.21,1.13
5625.0,0.91,0.96
