Star_Temperature_K,Star_Radius_Solar,Star_Mass_Solar
5200.0,0.88,0.91
5257.0,0.97,0.97
5700.0,1.14,1.78
6055.0,1.31,0.93
6430.0,1.98,1.55
6700.0,1.52,1.33
3725.0,0.55,0.54
5800.0,1.0,0.93
5600.0,0.86,0.83
6600.0,1.51,1.39
5450.0,0.9,0.92
6180.0,1.52,1.76
4650.0,0.61,0.72
4143.0,0.59,0.58
6250.0,1.55,1.82
3681.0,0.51,0.51
6410.0,1.7,1.32
5260.0,0.87,0.9
5400.0,1.1072227151730252,0.980177462289264
5298.0,0.87,0.87
5450.0,0.9,0.92
6272.0,1.36,1.22
5540.0,1.05,1.06
6150.0,2.83,1.54
5965.0,1.64,1.17
5638.0,1.34,1.08
5750.0,0.8,0.67
5400.0,0.89,0.86
4591.0,0.66,0.73
5990.0,1.42,0.98
5171.0,0.87,0.9
6260.0,2.21,1.41
6261.0,1.39,1.28
5475.0,0.96,1.08
5700.0,0.91,0.96
5900.0,1.37,1.25
5017.0,0.89,0.88
5763.0,1.22,1.11
4920.0,0.86,0.84
6112.0,0.94,1.09
4400.0,0.6,0.58
5702.0,1.43,1.04
6400.0,1.71,1.39
6110.0,1.44,1.22
6397.0,1.45,1.1
5910.0,1.79,1.49
5510.0,1.05,1.11
6030.0,1.53,1.06
5473.0,0.74,0.81
6250.0,1.15,1.2
5870.0,1.28,1.08
5315.0,0.89,0.95
5800.0,1.22,1.06
6450.0,1.87,1.39
6900.0,1.91,1.49
5600.0,1.03,1.34
5230.0,0.85,1.04
5600.0,0.94,0.93
4716.0,0.69,0.69
5599.0,1.75,1.25
5839.0,0.96,1.04
5000.0,0.75,0.82
6229.0,1.2,1.21
5400.0,0.84,0.89
5600.0,0.93,0.89
5597.0,0.99,0.92
5400.0,1.06,1.0
6230.0,1.23,1.11
4800.0,0.79,0.77
4953.0,0.8,0.84
