Discovery_Method,Discovery_Facility,Host_Star,Discovery_Year,orb_id,disc_id
Transit,Transiting Exoplanet Survey Satellite (TESS),TIC 4672985,2024-01-01,519,1553
Transit,K2,K2-417,2023-01-01,560,1676
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-815,2024-01-01,688,2060
Transit,HATSouth,HATS-28,2016-01-01,1255,3761
Transit,HATSouth,HATS-38,2020-01-01,1296,3884
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1468,2022-01-01,340,1016
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 207496,2023-01-01,745,2231
Transit,K2,K2-295,2018-01-01,854,2558
Transit,Next-Generation Transit Survey (NGTS),NGTS-16,2021-01-01,1179,3533
Transit,KELT-North,KELT-23 A,2019-01-01,1563,4685
Transit,Kepler,Kepler-51,2014-01-01,383,1145
Transit,Kepler,Kepler-68,2013-01-01,1054,3158
Transit,HATSouth,HATS-41,2018-01-01,1712,5132
Transit,K2,EPIC 249893012,2020-01-01,1618,4850
Transit,HATSouth,HATS-72,2020-01-01,741,2219
Transit,HATSouth,HATS-77,2021-01-01,830,2486
Transit,Kepler,Kepler-8,2010-01-01,1682,5042
Transit,Transiting Exoplanet Survey Satellite (TESS),HIP 9618,2023-01-01,472,1412
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 77946,2024-01-01,1131,3389
Transit,Kepler,Kepler-77,2013-01-01,1442,4322
Transit,SuperWASP-South,WASP-165,2018-01-01,1626,4874
Transit,SuperWASP,WASP-118,2016-01-01,1731,5189
Transit,HATSouth,HATS-42,2018-01-01,1858,5570
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1823,2024-01-01,426,1274
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5293 A,2023-01-01,677,2027
Transit,HATSouth,HATS-75,2021-01-01,774,2318
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2000,2023-01-01,1490,4466
Transit,HATNet,HAT-P-60,2021-01-01,1774,5318
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-558,2021-01-01,1063,3185
Transit,SuperWASP,WASP-46,2011-01-01,1638,4910
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2076,2021-01-01,460,1376
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1173,2024-01-01,870,2606
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-125,2020-01-01,640,1916
Transit,K2,K2-290,2019-01-01,1232,3692
Transit,SuperWASP,WASP-156,2017-01-01,936,2804
Transit,K2,K2-36,2016-01-01,1330,3986
Transit,SuperWASP,WASP-79,2012-01-01,1718,5150
Radial Velocity,La Silla Observatory,HD 136352,2019-01-01,907,2717
Transit,HATNet,HAT-P-38,2012-01-01,1084,3248
Transit,Kepler,Kepler-111,2014-01-01,354,1058
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3364,2023-01-01,1266,3794
Transit,HATNet,HAT-P-58,2021-01-01,1624,4868
Radial Velocity,Multiple Observatories,TOI-238,2024-01-01,698,2090
Transit,K2,EPIC 249893012,2020-01-01,754,2258
Transit,K2,K2-280,2018-01-01,789,2363
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-733,2023-01-01,1058,3170
Transit,Transiting Exoplanet Survey Satellite (TESS),LTT 1445 A,2022-01-01,510,1526
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 21520,2024-01-01,639,1913
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4994,2024-01-01,720,2156
Transit,K2,K2-30,2016-01-01,1094,3278
Orbital Brightness Modulation,Kepler,Kepler-76,2013-01-01,2142,6422
Transit,K2,K2-36,2016-01-01,856,2564
Transit,HATSouth,HATS-45,2018-01-01,1520,4556
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2154,2023-01-01,1582,4742
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-6130,2024-01-01,1752,5252
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1789,2021-01-01,1929,5783
Transit,Transiting Exoplanet Survey Satellite (TESS),HIP 9618,2023-01-01,643,1925
Transit,Transiting Exoplanet Survey Satellite (TESS),HIP 97166,2021-01-01,704,2108
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4914,2024-01-01,896,2684
Transit,SuperWASP,WASP-177,2019-01-01,1144,3428
Transit,K2,K2-111,2017-01-01,1311,3929
Transit,K2,K2-237,2018-01-01,1761,5279
Transit,HATNet,HAT-P-66,2016-01-01,1898,5690
Transit,Kepler,Kepler-428,2014-01-01,1072,3212
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 86226,2020-01-01,1313,3935
Transit,HATSouth,HATS-27,2016-01-01,1661,4979
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1749,2021-01-01,675,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1472,2024-01-01,813,2435
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 23472,2019-01-01,545,1631
Radial Velocity,W. M. Keck Observatory,HD 97658,2010-01-01,753,2255
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 191939,2020-01-01,882,2642
Transit,Kepler,Kepler-323,2014-01-01,1840,5516
Transit,OGLE,OGLE-TR-132,2004-01-01,2015,6041
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-561,2020-01-01,417,1247
Transit,K2,K2-3,2015-01-01,503,1505
Transit,K2,GJ 9827,2017-01-01,718,2150
Transit,CoRoT,CoRoT-24,2014-01-01,852,2552
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1411,2022-01-01,978,2930
Transit,Kepler,Kepler-109,2014-01-01,1278,3830
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-431,2021-01-01,1864,5588
Transit,Kepler,Kepler-138,2014-01-01,412,1232
Transit,Kepler,Kepler-19,2011-01-01,853,2555
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1478,2021-01-01,920,2756
Transit,HATNet,HAT-P-9,2008-01-01,1542,4622
Transit,K2,HD 3167,2016-01-01,566,1694
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-969,2022-01-01,943,2825
Transit,Next-Generation Transit Survey (NGTS),NGTS-23,2022-01-01,1329,3983
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1855,2024-01-01,1703,5105
Transit,HATSouth,HATS-24,2017-01-01,2168,6500
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2180,2022-01-01,350,1046
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1842,2021-01-01,1202,3602
Transit,Kepler,KOI-94,2013-01-01,1488,4460
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1266,2020-01-01,427,1277
Transit,Next-Generation Transit Survey (NGTS),NGTS-8,2019-01-01,1347,4037
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1820,2022-01-01,1377,4127
Transit,OGLE,OGLE-TR-56,2002-01-01,2214,6638
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-125,2019-01-01,1039,3113
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2025,2022-01-01,1168,3500
Transit,SuperWASP,WASP-90,2016-01-01,1842,5522
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-431,2021-01-01,635,1901
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1296,2021-01-01,1417,4247
Radial Velocity,Haute-Provence Observatory,HD 88986,2023-01-01,462,1382
Radial Velocity,La Silla Observatory,HD 136352,2019-01-01,679,2033
Transit,CoRoT,CoRoT-6,2009-01-01,1019,3053
Transit,Kepler,Kepler-74,2013-01-01,1080,3236
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-954,2020-01-01,1528,4580
Transit,K2,K2-260,2018-01-01,2092,6272
Transit,CoRoT,CoRoT-9,2009-01-01,422,1262
Radial Velocity,Multiple Observatories,HD 219134,2015-01-01,525,1571
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3807,2023-01-01,1648,4940
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1448,2024-01-01,428,1280
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5398,2022-01-01,949,2843
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1794,2024-01-01,995,2981
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-6038 A,2025-01-01,1441,4319
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 93963 A,2022-01-01,1844,5528
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2120,2024-01-01,386,1154
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1260,2021-01-01,653,1955
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4010,2023-01-01,909,2723
Transit,HATNet,HAT-P-12,2009-01-01,965,2891
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2145,2023-01-01,1365,4091
Transit,K2,Wolf 503,2018-01-01,791,2369
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3693,2022-01-01,803,2405
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1853,2023-01-01,1481,4439
Transit,K2,K2-266,2018-01-01,492,1472
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2589,2023-01-01,594,1778
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4515,2024-01-01,707,2117
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1685,2021-01-01,1064,3188
Transit,HATNet,HAT-P-61,2021-01-01,1507,4517
Transit,Kepler,Kepler-51,2012-01-01,441,1319
Transit,K2,K2-29,2016-01-01,1173,3515
Transit,WASP-South,WASP-193,2023-01-01,1256,3764
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 28109,2022-01-01,508,1520
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1775,2024-01-01,710,2126
Transit,K2,GJ 9827,2017-01-01,1037,3107
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-908,2023-01-01,1319,3953
Transit,Kepler,Kepler-40,2010-01-01,1622,4862
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2109,2021-01-01,3648,10940
Transit,HATSouth,HATS-6,2015-01-01,715,2141
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5218,2024-01-01,785,2351
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 15337,2019-01-01,1003,3005
Transit,Kepler,Kepler-62,2013-01-01,512,1532
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-837,2020-01-01,997,2987
Transit,Transiting Exoplanet Survey Satellite (TESS),L 168-9,2020-01-01,1000,2996
Transit,HATNet,HAT-P-25,2010-01-01,1184,3548
Transit,HATSouth,HATS-52,2017-01-01,1836,5504
Transit,Kepler,Kepler-62,2013-01-01,210,626
Transit,Transiting Exoplanet Survey Satellite (TESS),L 98-59,2019-01-01,555,1661
Transit,HATSouth,HATS-3,2013-01-01,1650,4946
Transit,Kepler,Kepler-87,2013-01-01,480,1436
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2338,2023-01-01,801,2399
Transit,HATNet,HAT-P-28,2011-01-01,1386,4154
Transit,CoRoT,CoRoT-11,2010-01-01,1659,4973
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2373,2023-01-01,862,2582
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-257,2021-01-01,1029,3083
Transit,Next-Generation Transit Survey (NGTS),NGTS-24,2022-01-01,1501,4499
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-561,2020-01-01,600,1796
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1420,2023-01-01,959,2873
Transit,HATSouth,HATS-32,2016-01-01,1439,4313
Transit,Kepler,Kepler-6,2009-01-01,1462,4382
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 20329,2022-01-01,2143,6425
Transit,Transiting Exoplanet Survey Satellite (TESS),TIC 46432937,2024-01-01,874,2618
Transit,HATSouth,HATS-44,2018-01-01,1163,3485
Transit,Next-Generation Transit Survey (NGTS),NGTS-6,2019-01-01,1286,3854
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4010,2023-01-01,1443,4325
Transit,K2,K2-97,2016-01-01,1568,4700
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1807,2021-01-01,1696,5084
Transit,K2,K2-3,2015-01-01,374,1118
Transit,K2,K2-290,2019-01-01,678,2030
Transit,WASP-South,WASP-169,2019-01-01,1606,4814
Transit,Next-Generation Transit Survey (NGTS),NGTS-21,2022-01-01,1359,4073
Transit,SuperWASP-South,WASP-158,2018-01-01,1592,4772
Transit,Kepler,Kepler-107,2014-01-01,1594,4778
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3071,2024-01-01,2157,6467
Transit,SuperWASP,WASP-18,2009-01-01,2431,7289
Transit,Kepler,Kepler-20,2011-01-01,1189,3563
Transit,K2,K2-265,2018-01-01,1368,4100
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-286,2024-01-01,981,2939
Transit,Acton Sky Portal Observatory,KPS-1,2018-01-01,1461,4379
Transit,SuperWASP,WASP-93,2016-01-01,1944,5828
Transit,HATNet,HAT-P-23,2010-01-01,2058,6170
Transit,SuperWASP-South,WASP-130,2016-01-01,835,2501
Transit,K2,K2-38,2016-01-01,951,2849
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3976 A,2023-01-01,1297,3887
Transit,K2,K2-285,2018-01-01,622,1862
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 235088,2023-01-01,756,2264
Transit,HATSouth,HATS-49,2020-01-01,837,2507
Transit,Transiting Exoplanet Survey Satellite (TESS),Wolf 327,2024-01-01,998,2990
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-677,2020-01-01,1254,3758
Transit,KELT-North,KELT-24,2019-01-01,1393,4175
Transit,K2,K2-329,2020-01-01,652,1952
Transit,Kepler,Kepler-10,2011-01-01,580,1736
Transit,HATSouth,HATS-13,2015-01-01,1246,3734
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1416,2023-01-01,1519,4553
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-169,2020-01-01,1717,5147
Transit,Kepler,KOI-94,2013-01-01,1014,3038
Transit,HATSouth,HATS-4,2014-01-01,1317,3947
Transit,Kepler,Kepler-117,2014-01-01,986,2954
Transit,CoRoT,CoRoT-1,2008-01-01,1900,5696
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-270,2019-01-01,389,1163
Transit,Multiple Observatories,TOI-178,2021-01-01,523,1565
Transit,SuperWASP,WASP-7,2008-01-01,1489,4463
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2421,2022-01-01,1536,4604
Transit,SuperWASP-South,WASP-164,2018-01-01,1612,4832
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-530,2021-01-01,567,1697
Transit,HATNet,HAT-P-37,2011-01-01,1273,3815
Transit,K2,K2-66,2016-01-01,1374,4118
Transit,K2,K2-266,2018-01-01,1517,4547
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2010,2023-01-01,402,1202
Transit,Next-Generation Transit Survey (NGTS),NGTS-1,2017-01-01,792,2372
Transit,K2,K2-419 A,2024-01-01,379,1133
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 28109,2022-01-01,587,1757
Transit,Transiting Exoplanet Survey Satellite (TESS),WASP-132,2022-01-01,1331,3989
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2152,2023-01-01,1804,5408
Transit,HATSouth,HATS-35,2016-01-01,2039,6113
Transit,Kepler,Kepler-454,2015-01-01,918,2750
Transit,HATSouth,HATS-46,2018-01-01,1056,3164
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5398,2023-01-01,1244,3728
Transit,CoRoT,CoRoT-36,2022-01-01,1569,4703
Transit,HATNet,HAT-P-53,2015-01-01,1780,5336
Transit,HATSouth,HATS-31,2016-01-01,1825,5471
Transit,HATSouth,HATS-66,2018-01-01,2000,5996
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 63433,2020-01-01,624,1868
Transit,Kepler,Kepler-117,2014-01-01,706,2114
Transit,Transiting Exoplanet Survey Satellite (TESS),TIC 139270665,2024-01-01,705,2111
Transit,HATSouth,HATS-61,2018-01-01,1228,3680
Transit,SuperWASP-South,WASP-173 A,2018-01-01,1882,5642
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 2685,2019-01-01,2063,6185
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-532,2021-01-01,869,2603
Transit,HATNet,HAT-P-20,2010-01-01,972,2912
Transit,HATNet,HAT-P-36,2011-01-01,1783,5345
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-260,2024-01-01,495,1481
Transit,K2,HD 73344,2024-01-01,913,2735
Transit,Kepler,Kepler-107,2014-01-01,1175,3521
Transit,CoRoT,CoRoT-26,2013-01-01,1602,4802
Transit,Kepler,Kepler-1514,2016-01-01,390,1166
Transit,K2,K2-140,2017-01-01,964,2888
Transit,HATSouth,HATS-47,2020-01-01,855,2561
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2570,2022-01-01,1433,4295
Transit,K2,K2-141,2018-01-01,2105,6311
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1759,2022-01-01,445,1331
Transit,Kepler,Kepler-93,2014-01-01,1135,3401
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1452,2022-01-01,328,980
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4438,2024-01-01,437,1307
Transit,Transiting Exoplanet Survey Satellite (TESS),NGTS-30,2024-01-01,502,1502
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3984 A,2023-01-01,565,1691
Transit,K2,HD 106315,2017-01-01,888,2660
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1075,2022-01-01,1325,3971
Transit,SuperWASP,WASP-136,2016-01-01,1744,5228
Transit,Kepler,Kepler-167,2016-01-01,136,404
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1824,2024-01-01,531,1589
Transit,K2,K2-285,2018-01-01,743,2225
Radial Velocity,Paranal Observatory,HD 42813,2023-01-01,922,2762
Transit,KELT-South,KELT-10,2016-01-01,1379,4133
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1246,2022-01-01,864,2588
Transit,Kepler,Kepler-412,2014-01-01,1852,5552
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 191939,2020-01-01,542,1622
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4860,2023-01-01,696,2084
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2364,2023-01-01,1093,3275
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2981,2024-01-01,1360,4076
Transit,SuperWASP-South,WASP-163,2018-01-01,1640,4916
Transit,Transiting Exoplanet Survey Satellite (TESS),GJ 143,2019-01-01,424,1268
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2796,2023-01-01,1207,3617
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 22946,2022-01-01,1243,3725
Transit,Kepler,Kepler-101,2014-01-01,1515,4541
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 22946,2023-01-01,548,1640
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4153,2024-01-01,1671,5009
Transit,K2,K2-266,2018-01-01,540,1616
Transit,K2,K2-60,2016-01-01,1402,4202
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-172,2019-01-01,1200,3596
Transit,Next-Generation Transit Survey (NGTS),NGTS-18,2021-01-01,1383,4145
Transit,Kepler,KOI-1257,2014-01-01,513,1535
Transit,K2,K2-136,2017-01-01,612,1832
Radial Velocity,Roque de los Muchachos Observatory,HD 219134,2015-01-01,784,2348
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2019,2024-01-01,919,2753
Transit,HATSouth,HATS-5,2014-01-01,1027,3077
