Planet_Name,Semi_Major_Axis_AU,Equilibrium_Temperature,Habitable_Zone_Status
Qatar-2 b,0.02153,1344,Not Habitable
TOI-4127 b,0.3081,605,Not Habitable
LTT 3780 b,0.01195,903,Not Habitable
TOI-2842 b,0.0475,1471,Not Habitable
NGTS-13 b,0.0549,1605,Not Habitable
TOI-3261 b,0.01714,1722,Not Habitable
HD 137496 b,0.02732,2130,Not Habitable
TOI-762 A b,0.03418,555,Not Habitable
TOI-905 b,0.04666,1192,Not Habitable
Kepler-44 b,0.0446,1544,Not Habitable
TOI-2095 c,0.137,297,Not Habitable
Kepler-102 f,0.1656,495,Not Habitable
HD 73583 b,0.0604,714,Not Habitable
TOI-181 b,0.0539,895,Not Habitable
TOI-559 b,0.0723,1180,Not Habitable
TOI-1937 A b,0.01932,2097,Not Habitable
HD 136352 d,0.425,431,Not Habitable
TOI-776 b,0.0653,520,Not Habitable
HAT-P-42 b,0.0575,1428,Not Habitable
WASP-64 b,0.02648,1689,Not Habitable
Kepler-103 c,0.6639,434,Not Habitable
HD 15337 c,0.1268,642,Not Habitable
TOI-2384 b,0.02793,890,Not Habitable
HATS-48 A b,0.03769,955,Not Habitable
TOI-2368 b,0.05649,1000,Not Habitable
TOI-132 b,0.026,1395,Not Habitable
WASP-114 b,0.02851,2043,Not Habitable
TOI-1266 c,0.1047,354,Not Habitable
CoRoT-27 b,0.0476,1500,Not Habitable
WASP-175 b,0.04403,1571,Not Habitable
Kepler-433 b,0.0679,1776,Not Habitable
HATS-29 b,0.05475,1212,Not Habitable
Kepler-68 b,0.06135,1275,Not Habitable
NGTS-17 b,0.0391,1457,Not Habitable
TIC 393818343 b,0.1291,806,Not Habitable
TOI-178 c,0.037,873,Not Habitable
K2-25 b,0.0287,494,Not Habitable
K2-199 b,0.0382,913,Not Habitable
HATS-40 b,0.04997,2101,Not Habitable
WASP-167 b,0.0365,2329,Not Habitable
KOI-3503 b,0.11312557679914083,785,Not Habitable
HATS-39 b,0.06007,1645,Not Habitable
Qatar-3 b,0.03783,1681,Not Habitable
TOI-1260 b,0.0367,871,Not Habitable
HAT-P-19 b,0.04599,981,Not Habitable
K2-285 b,0.03817,1089,Not Habitable
NGTS-26 b,0.049,1331,Not Habitable
TOI-1601 b,0.069,1494,Not Habitable
HAT-P-65 b,0.04042,1818,Not Habitable
TOI-4201 b,0.04,725,Not Habitable
K2-27 b,0.06702,902,Not Habitable
TOI-544 b,0.0225,999,Not Habitable
HATS-30 b,0.04354,1414,Not Habitable
TOI-2015 b,0.0301,512,Not Habitable
TOI-2379 b,0.05263,624,Not Habitable
Kepler-80 b,0.0648,1102,Not Habitable
WASP-172 b,0.0694,1740,Not Habitable
CoRoT-19 b,0.0518,2000,Not Habitable
TOI-3023 b,0.0505,1596,Not Habitable
PH1 b,0.652,481,Not Habitable
WASP-170 b,0.0337,1422,Not Habitable
TOI-2583 A b,0.0571,1456,Not Habitable
WASP-183 b,0.04632,1111,Not Habitable
Qatar-1 b,0.02332,1418,Not Habitable
HD 63935 b,0.083,825,Not Habitable
CoRoT-22 b,0.092,885,Not Habitable
Wendelstein-2 b,0.0234,2470,Not Habitable
WASP-59 b,0.0697,670,Not Habitable
TOI-2236 b,0.05009,1688,Not Habitable
Kepler-37 c,0.139,615,Not Habitable
TOI-286 c,0.213,475,Not Habitable
WASP-140 b,0.0323,1320,Not Habitable
HATS-63 b,0.04026,1398,Not Habitable
HAT-P-1 b,0.05561,1322,Not Habitable
TOI-669 b,0.048,1125,Not Habitable
HATS-68 b,0.05071,1741,Not Habitable
EPIC 201595106 b,0.0177,2038,Not Habitable
TOI-3714 b,0.027,750,Not Habitable
TOI-2158 b,0.075,1188,Not Habitable
TOI-2285 b,0.1363,284,Not Habitable
Kepler-538 b,0.3554,417,Not Habitable
Kepler-102 e,0.1162,590,Not Habitable
TOI-1249 b,0.109,727,Not Habitable
Kepler-109 c,0.1546,859,Not Habitable
HATS-43 b,0.04944,1003,Not Habitable
WASP-168 b,0.0519,1340,Not Habitable
TOI-2107 b,0.03515,1397,Not Habitable
HAT-P-39 b,0.0509,1752,Not Habitable
HD 260655 c,0.04749,557,Not Habitable
TOI-1062 b,0.052,1077,Not Habitable
TOI-2498 b,0.0491,1443,Not Habitable
PH2 b,0.833,295,Potentially Habitable
HD 28109 b,0.1357,881,Not Habitable
K2-232 b,0.10356,1030,Not Habitable
TIC 237913194 b,0.1207,974,Not Habitable
NGTS-10 b,0.0143,1332,Not Habitable
TOI-6651 b,0.0633,1493,Not Habitable
TOI-2196 b,0.02234,1860,Not Habitable
Kepler-553 c,0.898,251,Potentially Habitable
HAT-P-63 b,0.04294,1237,Not Habitable
HD 3167 b,0.01796,1774,Not Habitable
TOI-2134 c,0.371,306,Not Habitable
Kepler-20 d,0.3474,430,Not Habitable
TOI-2076 b,0.088,688,Not Habitable
WASP-53 b,0.04101,1053,Not Habitable
TOI-1776 b,0.0378,1269,Not Habitable
TOI-3894 b,0.05354,1531,Not Habitable
TOI-2580 b,0.048,2410,Not Habitable
Kepler-409 b,0.3192,438,Not Habitable
TOI-663 d,0.0576,482,Not Habitable
TOI-3785 b,0.043,582,Not Habitable
HAT-P-11 b,0.0532,847,Not Habitable
