Planet_Name,Host_Star,Default_Flag,Num_Stars,Num_Planets,Discovery_Method,Discovery_Year,Discovery_Facility,Solar_System_Type,Controversial_Flag,Reference_Name,Orbital_Period_Days,Orbital_Period_Error_Upper,Orbital_Period_Error_Lower,Orbital_Period_Limit_Flag,Semi_Major_Axis_AU,Semi_Major_Axis_Error_Upper,Semi_Major_Axis_Error_Lower,Semi_Major_Axis_Limit_Flag,Planet_Radius_Earth,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,Planet_Mass_Earth,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,Orbital_Eccentricity,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,Insolation_Flux,pl_insolerr1,pl_insolerr2,pl_insollim,Equilibrium_Temperature,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,Star_Temperature_K,st_tefferr1,st_tefferr2,st_tefflim,Star_Radius_Solar,st_raderr1,st_raderr2,st_radlim,Star_Mass_Solar,st_masserr1,st_masserr2,st_masslim,Star_Metallicity,st_meterr1,st_meterr2,st_metlim,st_metratio,Star_Surface_Gravity,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,System_Distance_PC,sy_disterr1,sy_disterr2,System_Visual_Magnitude,sy_vmagerr1,sy_vmagerr2,System_Infrared_Magnitude,sy_kmagerr1,sy_kmagerr2,System_Gaia_Magnitude,sy_gaiamagerr1,sy_gaiamagerr2,Row_Last_Update,Publication_Date,Release_Date,Discovery_Date,Discovery_Method_Index,Discovery_Facility_Index,Solar_System_Type_Index
TOI-1439 b,TOI-1439,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,false,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,27.644,1.2E-4,-1.2E-4,false,0.192,0.004,-0.004,false,4.243,0.23,-0.168,0,0.379,0.021,-0.015,0,38.5,5.7,-5.6,0,0.12113,0.01793,-0.01762,0,Mass,0.157,0.083,-0.083,0,486.9533952254641,39.427112299465236,-35.799064171123014,0,748,11,-13,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,Unknown,5841.0,63.0,-65.0,0,1.62,0.03,-0.03,0,1.23,0.04,-0.08,0,0.226,0.058,-0.066,0,[Fe/H],4.11,0.02,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h07m03.34s,241.7639371,+67d52m39.51s,67.8776404,230.306,2.358,-2.311,10.55,0.007,-0.007,9.053001,0.015,-0.015,10.4168,4.2E-4,-4.2E-4,23/7/2024,2024-06,,2024-01-01,0.0,0.0,0.0
TOI-622 b,TOI-622,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,false,<a refstr=PSARIDI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A..39P/abstract target=ref>Psaridi et al. 2023</a>,6.402513,3.1E-5,-5.4E-5,false,0.0708,0.0052,-0.0059,false,9.236,0.314,-0.325,0,0.824,0.028,-0.029,0,96.30201,21.93016,-22.88365,0,0.303,0.069,-0.072,0,Mass,0.42,0.04802127868852457,-0.04109831850117093,1,602.0,103.0,-118.0,0,1388,22,-22,0,0,<a refstr=PSARIDI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A..39P/abstract target=ref>Psaridi et al. 2023</a>,F6 V,6400.0,100.0,-100.0,0,1.42,0.05,-0.05,0,1.31,0.08,-0.08,0,0.09,0.07,-0.07,0,[Fe/H],4.2,0.2,-0.2,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h21m13.21s,125.3050544,-46d29m03.47s,-46.4842959,123.297,0.471,-0.467,8.995,0.002,-0.002,7.858,0.023,-0.023,8.89103,2.8E-4,-2.8E-4,25/7/2023,2023-07,,2023-01-01,0.0,0.0,0.0
HATS-72 b,HATS-72,1,1,1,Transit,2020,HATSouth,Published Confirmed,false,<a refstr=HARTMAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..173H/abstract target=ref>Hartman et al. 2020</a>,7.3279474,1.6E-6,-1.6E-6,false,0.066517,8.5E-5,-8.5E-5,false,8.097,0.036,-0.036,0,0.722,0.003,-0.003,0,39.85588,1.23954,-1.23954,0,0.1254,0.0039,-0.0039,0,Mass,0.013,0.04802127868852457,-0.04109831850117093,1,49.58,0.44,-0.43,0,739,2,-2,0,0,<a refstr=HARTMAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..173H/abstract target=ref>Hartman et al. 2020</a>,Unknown,4656.1,8.9,-8.9,0,0.72,0.0,0.0,0,0.73,0.0,0.0,0,0.099,0.014,-0.014,0,[Fe/H],4.59,0.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h36m06.20s,339.0258401,-17d00m01.10s,-17.0003046,127.589,0.614,-0.609,12.324,0.046,-0.046,9.764,0.021,-0.021,12.0725,2.78E-4,-2.78E-4,21/2/2020,2020-04,,2020-01-01,0.0,4.0,0.0
Kepler-6 b,Kepler-6,1,1,1,Transit,2009,Kepler,Published Confirmed,false,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,3.2346996,4.0E-7,-4.0E-7,false,0.04852,7.4E-4,-0.00133,false,14.617,0.202,-0.37,0,1.304,0.018,-0.033,0,212.31044,12.07754,-11.12405,0,0.668,0.038,-0.035,0,Mass,0.09342613987473901,0.04802127868852457,-0.04109831850117093,0,486.9533952254641,39.427112299465236,-35.799064171123014,0,1460,10,-10,0,0,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,Unknown,5647.0,44.0,-44.0,0,1.39,0.02,-0.03,0,1.21,0.04,-0.04,0,0.34,0.04,-0.04,0,[Fe/H],4.24,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h47m20.94s,296.8372475,+48d14m23.89s,48.2399695,587.039,5.071,-4.986,13.286,0.08,-0.08,11.634,0.019,-0.019,13.1714,2.86E-4,-2.86E-4,7/10/2015,2015-05,,2009-01-01,0.0,1.0,0.0
TIC 4672985 b,TIC 4672985,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,false,<a refstr=JONES_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...683A.192J/abstract target=ref>Jones et al. 2024</a>,69.048,4.0E-4,-5.0E-4,false,0.33,0.019,-0.019,false,11.5,0.751,-0.729,0,1.026,0.067,-0.065,0,4049.13391,321.00669,-321.00669,0,12.74,1.01,-1.01,0,Mass,0.018,0.004,-0.004,0,486.9533952254641,39.427112299465236,-35.799064171123014,0,517,11,-11,0,0,<a refstr=JONES_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...683A.192J/abstract target=ref>Jones et al. 2024</a>,Unknown,5757.0,72.0,-65.0,0,1.15,0.01,-0.01,0,1.01,0.03,-0.03,0,0.14,0.05,-0.05,0,[Fe/H],4.32,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h33m52.96s,38.4706782,-10d39m26.58s,-10.6573827,253.385,2.214,-2.176,11.501,0.03,-0.03,9.97,0.023,-0.023,11.4442,3.41E-4,-3.41E-4,29/8/2024,2024-03,,2024-01-01,0.0,0.0,0.0
TOI-561 d,TOI-561,1,1,4,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,true,<a refstr=LACEDELLI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.4551L/abstract target=ref>Lacedelli et al. 2022</a>,25.7124,1.0E-4,-2.0E-4,false,0.158,0.002,-0.002,false,2.82,0.07,-0.07,0,0.252,0.006,-0.006,0,13.2,1.0,-0.9,0,0.04153,0.00315,-0.00283,0,Mass,0.122,0.054,-0.048,0,21.4,1.3,-1.3,0,598,9,-9,0,0,<a refstr=LACEDELLI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.4551L/abstract target=ref>Lacedelli et al. 2022</a>,G9 V,5372.0,70.0,-70.0,0,0.84,0.01,-0.01,0,0.81,0.04,-0.04,0,-0.4,0.05,-0.05,0,[Fe/H],4.5,0.12,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h52m44.44s,148.1851516,+06d12m57.97s,6.216103,85.799,0.4988,-0.4932,10.252,0.006,-0.006,8.394,0.019,-0.019,10.0128,2.78E-4,-2.78E-4,15/3/2023,2022-04,,2020-01-01,0.0,0.0,0.0
CoRoT-27 b,CoRoT-27,1,1,1,Transit,2014,CoRoT,Published Confirmed,false,<a refstr=PARVIAINEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...562A.140P/abstract target=ref> Parviainen et al. 2014 </a>,3.57532,6.0E-5,-6.0E-5,false,0.0476,0.0066,-0.0066,false,11.287,0.493,-0.493,0,1.007,0.044,-0.044,0,3302.11,174.8,-174.8,0,10.39,0.55,-0.55,0,Mass,0.065,0.04802127868852457,-0.04109831850117093,1,486.9533952254641,39.427112299465236,-35.799064171123014,0,1500,130,-130,0,0,<a refstr=PARVIAINEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...562A.140P/abstract target=ref> Parviainen et al. 2014 </a>,G2,5900.0,120.0,-120.0,0,1.08,0.18,-0.06,0,1.05,0.11,-0.11,0,-0.1,0.1,-0.1,0,[M/H],4.4,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h33m59.00s,278.4958319,+05d32m18.17s,5.5383811,1010.28,69.26,-61.036,15.774,0.103,-0.103,12.985,0.033,-0.033,15.3902,6.15E-4,-6.15E-4,14/5/2014,2014-02,,2014-01-01,0.0,6.0,0.0
EPIC 249893012 d,EPIC 249893012,1,1,3,Transit,2020,K2,Published Confirmed,false,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>,35.747,0.005,-0.005,false,0.22,0.02,-0.04,false,3.94,0.13,-0.12,0,0.352,0.012,-0.011,0,10.18,2.46,-2.42,0,0.03203,0.00774,-0.00761,0,Mass,0.15,0.21,-0.11,0,53.0,23.0,-10.0,0,752,69,-37,0,0,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>,G8 IV/V,5430.0,85.0,-85.0,0,1.71,0.04,-0.04,0,1.05,0.05,-0.05,0,0.2,0.05,-0.05,0,[Fe/H],3.99,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h12m59.58s,228.2482353,-16d43m28.73s,-16.7246474,321.296,4.189,-4.085,11.429,0.022,-0.022,9.714,0.023,-0.023,11.4019,4.95E-4,-4.95E-4,6/2/2020,2020-04,,2020-01-01,0.0,2.0,0.0
HIP 8152 c,HIP 8152,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,false,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,19.60562,2.5E-4,-2.5E-4,false,0.139,0.003,-0.002,false,2.524,0.15,-0.141,0,0.225,0.013,-0.013,0,10.7,2.1,-2.2,0,0.03367,0.00661,-0.00692,0,Mass,0.2,0.1,-0.1,0,486.9533952254641,39.427112299465236,-35.799064171123014,0,651,11,-11,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,Unknown,5618.0,74.0,-73.0,0,0.96,0.02,-0.02,0,0.94,0.04,-0.03,0,0.007,0.058,-0.059,0,[Fe/H],4.44,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h44m50.22s,26.2092533,-18d24m04.98s,-18.4013844,101.694,0.421,-0.417,10.07,0.03,-0.03,8.449,0.021,-0.021,9.90726,3.97E-4,-3.97E-4,23/7/2024,2024-06,,2023-01-01,0.0,0.0,0.0
K2-3 c,K2-3,1,1,3,Transit,2015,K2,Published Confirmed,false,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,24.646729,4.4E-5,-4.2E-5,false,0.1357,0.0023,-0.0022,false,1.582,0.057,-0.051,0,0.141,0.005,-0.005,0,2.68,0.85,-0.85,0,0.00843,0.00267,-0.00267,0,Mass,0.048,0.073,-0.035,0,3.17,0.3,-0.3,0,372,4,-4,0,0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,M V,3844.0,61.0,-63.0,0,0.55,0.02,-0.02,0,0.55,0.03,-0.03,0,-0.157,0.075,-0.08,0,[Fe/H],4.7,0.02,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h29m20.49s,172.3353708,-01d27m18.49s,-1.4551364,44.0727,0.10815,-0.10815,12.168,0.009,-0.009,8.561,0.023,-0.023,11.4785,9.59E-4,-9.59E-4,10/7/2023,2022-11,,2015-01-01,0.0,2.0,0.0
LTT 3780 c,LTT 3780,1,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,false,<a refstr=BONFANTI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...682A..66B/abstract target=ref>Bonfanti et al. 2024</a>,12.252284,1.3E-5,-1.3E-5,false,0.0757,0.0018,-0.0018,false,2.39,0.1,-0.11,0,0.213,0.009,-0.01,0,8.04,0.5,-0.48,0,0.0253,0.00157,-0.00151,0,Mass,0.024,0.032,-0.017,0,2.76,0.33,-0.31,0,359,10,-10,0,0,<a refstr=BONFANTI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...682A..66B/abstract target=ref>Bonfanti et al. 2024</a>,Unknown,3358.0,92.0,-92.0,0,0.38,0.01,-0.01,0,0.38,0.02,-0.03,0,0.06,0.11,-0.11,0,[Fe/H],4.85,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h18m34.78s,154.6449033,-11d43m04.08s,-11.717801,21.9814,0.0403,-0.0402,13.14,0.035,-0.035,8.204001,0.021,-0.021,11.8465,4.77E-4,-4.77E-4,26/3/2024,2024-02,,2020-01-01,0.0,0.0,0.0
TOI-1937 A b,TOI-1937 A,1,2,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,false,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,0.94667944,4.7E-7,-4.7E-7,false,0.01932,3.5E-4,-3.9E-4,false,13.978,0.661,-0.695,0,1.247,0.059,-0.062,0,638.8351,54.03083,-50.85255,0,2.01,0.17,-0.16,0,Mass,0.0,0.04802127868852457,-0.04109831850117093,0,3230.0,220.0,-213.0,0,2097,35,-36,0,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,Unknown,5814.0,91.0,-93.0,0,1.08,0.03,-0.02,0,1.07,0.06,-0.06,0,0.196,0.084,-0.084,0,[Fe/H],4.4,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h45m28.97s,116.3707214,-52d22m59.73s,-52.3832587,415.135,2.929,-2.889,13.18,0.103,-0.103,11.226,0.021,-0.021,13.0168,7.41E-4,-7.41E-4,27/2/2023,2023-03,,2023-01-01,0.0,0.0,0.0
TOI-2977 b,TOI-2977,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,false,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,2.3505614,2.5E-6,-2.5E-6,false,0.03386,6.7E-4,-5.0E-4,false,13.159,0.347,-0.303,0,1.174,0.031,-0.027,0,533.95172,82.63539,-79.4571,0,1.68,0.26,-0.25,0,Mass,0.0,0.04802127868852457,-0.04109831850117093,0,947.8,66.9,-61.7,0,1544,26,-26,0,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,Unknown,5691.0,94.0,-93.0,0,1.07,0.02,-0.02,0,0.94,0.06,-0.04,0,0.013,0.087,-0.085,0,[Fe/H],4.35,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h35m42.36s,143.9265177,-60d21m26.91s,-60.3574758,341.24317438112206,7.808041317204307,-7.289089382616482,12.6334,0.046,-0.046,10.666,0.026,-0.026,12.4443,0.002876,-0.002876,27/2/2023,2023-03,,2023-01-01,0.0,0.0,0.0
Kepler-177 c,Kepler-177,1,1,2,Transit,2013,Kepler,Published Confirmed,false,<a refstr=VISSAPRAGADA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..108V/abstract target=ref>Vissapragada et al. 2020</a>,49.40926,7.8E-4,-7.7E-4,false,0.11312557679914084,0.002684978260869558,-0.0027789380434782513,,8.73,0.36,-0.34,0,0.779,0.032,-0.03,0,14.7,2.7,-2.5,0,0.04625,0.0085,-0.00787,0,Mass,0.0,0.04802127868852457,-0.04109831850117093,0,25.4,1.6,-1.6,0,1102,28,-27,0,1,<a refstr=VISSAPRAGADA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..108V/abstract target=ref>Vissapragada et al. 2020</a>,Unknown,5732.0,60.0,-60.0,0,1.32,0.05,-0.05,0,0.92,0.03,-0.02,0,-0.11,0.04,-0.04,0,[Fe/H],4.1,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h04m11.31s,286.0471442,+45d03m11.53s,45.0532038,1435.44,42.1,-39.81,15.171,0.149,-0.149,13.421,0.04,-0.04,14.9414,3.19E-4,-3.19E-4,1/5/2020,2020-03,,2013-01-01,0.0,1.0,0.0
TOI-3919 b,TOI-3919,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,false,<a refstr=SCHULTE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...32S/abstract target=ref>Schulte et al. 2024</a>,7.433234,1.4E-5,-1.4E-5,false,0.0795,0.0014,-0.0016,false,12.319,0.583,-0.56,0,1.099,0.052,-0.05,0,1233.17422,73.10053,-73.10053,0,3.88,0.23,-0.23,0,Mass,0.259,0.033,-0.036,0,486.9533952254641,39.427112299465236,-35.799064171123014,0,1198,15,-14,0,0,<a refstr=SCHULTE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...32S/abstract target=ref>Schulte et al. 2024</a>,Unknown,6100.0,110.0,-110.0,0,1.32,0.05,-0.05,0,1.21,0.07,-0.07,0,0.175,0.096,-0.094,0,[Fe/H],4.28,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h55m46.74s,208.9447534,+40d23m30.50s,40.3918061,604.591,9.023,-8.767,12.858,0.069,-0.069,11.502,0.02,-0.02,12.7133,2.22E-4,-2.22E-4,4/11/2024,2024-07,,2024-01-01,0.0,0.0,0.0
KOI-3503 c,KOI-3503,1,1,2,Transit,2021,Kepler,Published Confirmed,false,<a refstr=JONTOF_HUTTER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..246J/abstract target=ref>Jontof-Hutter et al. 2021</a>,31.828,0.013030851033519556,-0.009756004813780271,false,0.11312557679914084,0.002684978260869558,-0.0027789380434782513,,1.21,0.28,-0.09,0,0.108,0.025,-0.008,0,10.36,29.73406869479874,-29.30560558390571,1,0.0326,0.09352044160942088,-0.09218208047104992,1,Mass,0.09342613987473901,0.04802127868852457,-0.04109831850117093,0,486.9533952254641,39.427112299465236,-35.799064171123014,0,686,12,-11,0,1,<a refstr=JONTOF_HUTTER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..246J/abstract target=ref>Jontof-Hutter et al. 2021</a>,Unknown,6001.0,60.0,-60.0,0,1.25,0.03,-0.03,0,0.86,0.02,-0.02,0,0.06199999999999998,0.08140913811007251,-0.0808961578400829,0,Unknown,4.392565130260518,0.05862208713272568,-0.05907801418439738,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h32m36.18s,293.1507654,+41d43m44.95s,41.7291532,887.064,12.37,-12.37,13.831,0.114,-0.114,12.483,0.026,-0.026,13.7744,2.84E-4,-2.84E-4,11/6/2021,2021-05,,2021-01-01,0.0,1.0,0.0
HATS-22 b,HATS-22,1,1,1,Transit,2017,HATSouth,Published Confirmed,false,<a refstr=BENTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.468..835B/abstract target=ref>Bento et al. 2017</a>,4.7228124,5.2E-6,-5.2E-6,false,0.05025,4.2E-4,-4.2E-4,false,10.682,0.538,-0.325,0,0.953,0.048,-0.029,0,870.8542,34.9613,-34.9613,0,2.74,0.11,-0.11,0,Mass,0.079,0.026,-0.026,0,486.9533952254641,39.427112299465236,-35.799064171123014,0,858,24,-17,0,0,<a refstr=BENTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.468..835B/abstract target=ref>Bento et al. 2017</a>,K V,4803.0,55.0,-55.0,0,0.69,0.03,-0.02,0,0.76,0.02,-0.02,0,0.0,0.04,-0.04,0,[Fe/H],4.64,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h36m02.37s,174.0098693,-29d32m36.11s,-29.5433642,229.518,1.612,-1.59,13.397,0.092,-0.092,10.942,0.019,-0.019,13.1225,4.4E-4,-4.4E-4,14/3/2017,2017-06,,2017-01-01,0.0,4.0,0.0
HATS-74 A b,HATS-74 A,1,2,1,Transit,2021,HATSouth,Published Confirmed,false,<a refstr=JORD_AACUTE_N_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..125J/abstract target=ref>Jord&aacute;n et al. 2022</a>,1.73185606,5.5E-7,-5.5E-7,false,0.02384,1.1E-4,-1.1E-4,false,11.568,0.235,-0.235,0,1.032,0.021,-0.021,0,464.02947,44.49598,-44.49598,0,1.46,0.14,-0.14,0,Mass,0.044,0.04802127868852457,-0.04109831850117093,1,106.9,2.71,-2.71,0,895,6,-6,0,0,<a refstr=JORD_AACUTE_N_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..125J/abstract target=ref>Jord&aacute;n et al. 2022</a>,Unknown,3776.9,9.5,-9.5,0,0.58,0.01,-0.01,0,0.6,0.01,-0.01,0,0.514,0.033,-0.021,0,[Fe/H],4.7,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h24m03.55s,171.0147921,-19d33m25.05s,-19.5569588,299.389,7.188,-6.865,17.26,0.2,-0.2,12.361,0.031,-0.031,15.9837,9.21E-4,-9.21E-4,13/12/2021,2022-03,,2021-01-01,0.0,4.0,0.0
Kepler-28 c,Kepler-28,1,1,2,Transit,2011,Kepler,Published Confirmed,false,<a refstr=LELEU_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A.117L/abstract target=ref>Leleu et al. 2023</a>,8.99,0.013030851033519556,-0.009756004813780271,false,0.11312557679914084,0.002684978260869558,-0.0027789380434782513,,1.857,0.042,-0.042,0,0.166,0.004,-0.004,0,2.06,0.7,-0.52,0,0.00648,0.0022,-0.00164,0,Mass,0.017,0.023,-0.014,0,486.9533952254641,39.427112299465236,-35.799064171123014,0,1102,28,-27,0,1,<a refstr=LELEU_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A.117L/abstract target=ref>Leleu et al. 2023</a>,Unknown,4499.3,74.9,-74.9,0,0.66,0.01,-0.01,0,0.68,0.03,-0.03,0,0.06199999999999998,0.08140913811007251,-0.0808961578400829,0,Unknown,4.392565130260518,0.05862208713272568,-0.05907801418439738,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h28m32.89s,292.1370409,+42d25m46.14s,42.4294835,438.359,4.6705,-4.6705,15.13,0.057,-0.057,12.719,0.028,-0.028,15.0257,4.97E-4,-4.97E-4,10/6/2024,2023-01,,2011-01-01,0.0,1.0,0.0
