epoch,loss,val_loss,accuracy,val_accuracy,prediction
1,4.989030361175537,2.4736881256103516,0.267226904630661,0.0,N/A
2,4.6260247230529785,2.241096019744873,0.27731093764305115,0.0,N/A
3,3.691035747528076,2.000117063522339,0.31092438101768494,0.0,N/A
4,3.415172815322876,1.7997796535491943,0.3445378243923187,0.00671140942722559,N/A
5,2.7422034740448,1.7298704385757446,0.3529411852359772,0.07382550090551376,N/A
6,2.634803056716919,1.6484153270721436,0.38991597294807434,0.23489932715892792,N/A
7,2.4851250648498535,1.515197515487671,0.38991597294807434,0.42281877994537354,N/A
8,2.2493534088134766,1.3851932287216187,0.4285714328289032,0.6241610646247864,N/A
9,2.2566888332366943,1.2852668762207031,0.45210084319114685,0.6778523325920105,N/A
10,2.1399078369140625,1.1620101928710938,0.4638655483722687,0.7583892345428467,N/A
11,2.029571294784546,1.0333751440048218,0.48571428656578064,0.7583892345428467,N/A
12,1.8469078540802002,0.9400584697723389,0.5142857432365417,0.7583892345428467,N/A
13,1.773315191268921,0.8745242357254028,0.5647059082984924,0.7583892345428467,N/A
14,1.8031200170516968,0.8699473738670349,0.5596638917922974,0.7583892345428467,N/A
15,1.6557331085205078,0.8866210579872131,0.5680672526359558,0.7583892345428467,N/A
16,1.7608853578567505,0.8886141180992126,0.5798319578170776,0.7583892345428467,N/A
17,1.5346359014511108,0.8624588847160339,0.5697479248046875,0.7583892345428467,N/A
18,1.7111995220184326,0.8050576448440552,0.5932773351669312,0.7583892345428467,N/A
19,1.358597755432129,0.8010079860687256,0.605042040348053,0.7583892345428467,N/A
20,1.523781180381775,0.8081393837928772,0.610084056854248,0.7583892345428467,N/A
21,1.3996796607971191,0.8102864623069763,0.6218487620353699,0.7583892345428467,N/A
22,1.4120020866394043,0.7855145335197449,0.6403361558914185,0.7583892345428467,N/A
23,1.2480312585830688,0.736919105052948,0.6504201889038086,0.7583892345428467,N/A
24,1.311273217201233,0.7169082760810852,0.6386554837226868,0.7583892345428467,N/A
25,1.2974082231521606,0.723538875579834,0.6621848940849304,0.7583892345428467,N/A
26,1.283707618713379,0.7270755767822266,0.6705882549285889,0.7583892345428467,N/A
27,1.3200182914733887,0.7096439003944397,0.6521008610725403,0.7583892345428467,N/A
28,1.1953911781311035,0.7128121256828308,0.658823549747467,0.7583892345428467,N/A
29,1.2427095174789429,0.7135022282600403,0.7109243869781494,0.7583892345428467,N/A
30,1.2495307922363281,0.6942666172981262,0.6907563209533691,0.7583892345428467,N/A
31,1.2279607057571411,0.7035596370697021,0.6554622054100037,0.7583892345428467,N/A
32,1.186935305595398,0.7162514925003052,0.6638655662536621,0.7583892345428467,N/A
33,1.1388957500457764,0.716029942035675,0.7008403539657593,0.7583892345428467,N/A
34,1.1753116846084595,0.6923769116401672,0.6705882549285889,0.7583892345428467,N/A
35,1.062235951423645,0.6970909237861633,0.6873949766159058,0.7583892345428467,N/A
36,1.1428914070129395,0.6934238076210022,0.6974790096282959,0.7583892345428467,N/A
37,1.0168328285217285,0.6928262114524841,0.6991596817970276,0.7583892345428467,N/A
38,1.204239010810852,0.703285276889801,0.6957983374595642,0.7583892345428467,N/A
39,1.124720811843872,0.7055963277816772,0.702521026134491,0.7583892345428467,N/A
40,1.0309312343597412,0.7023242712020874,0.6941176652908325,0.7583892345428467,N/A
41,1.09051513671875,0.7001455426216125,0.7042016983032227,0.7583892345428467,N/A
42,1.0910422801971436,0.7047051191329956,0.702521026134491,0.7583892345428467,N/A
43,1.0746463537216187,0.7037824392318726,0.7008403539657593,0.7583892345428467,N/A
44,1.0639640092849731,0.7051215767860413,0.6924369931221008,0.7583892345428467,N/A
45,1.1930818557739258,0.701915442943573,0.7008403539657593,0.7583892345428467,N/A
46,1.012558102607727,0.7018163204193115,0.6907563209533691,0.7583892345428467,N/A
47,1.084825873374939,0.7021653056144714,0.702521026134491,0.7583892345428467,N/A
48,1.0542784929275513,0.7052483558654785,0.7008403539657593,0.7583892345428467,N/A
49,1.0110219717025757,0.7066596150398254,0.7092437148094177,0.7583892345428467,N/A
final,0.4546399414539337,N/A,0.7914438247680664,N/A,1
