Planet_Name,Host_Star,Discovery_Method,Discovery_Year,Discovery_Facility,Reference_Name,Orbital_Period_Days,Orbital_Period_Error_Upper,Orbital_Period_Error_Lower,Semi_Major_Axis_AU,Planet_Radius_Earth,pl_radj,Planet_Mass_Earth,pl_bmassj,pl_bmassprov,Orbital_Eccentricity,Equilibrium_Temperature,UEB_temp,LEB_temp,pl_eqtlim,ttv_flag,st_refname,st_spectype,Star_Temperature_K,Star_UEBTemp,st_tefferr2,st_tefflim,Star_Radius_Solar,Star_Mass_Solar,Star_Metallicity,Star_Surface_Gravity,sy_refname,rastr,ra,dec,System_Distance_PC,System_Visual_Magnitude,System_Infrared_Magnitude,Discovery_Date,Discovery_Method_Index,Discovery_Facility_Index
HD 136352 b,HD 136352,Radial Velocity,2019,La Silla Observatory,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,11.57797,8.0E-5,-1.3E-4,0.0964,1.664,0.148,4.72,0.01485,Mass,0.0,905,14,-14,0,0,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,Unknown,5664.0,61.0,-61.0,0,1.06,0.87,-0.24,4.39,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h21m45.63s,230.4401147,-48.3188174,14.682,5.65,4.159,2019-01-01,1.0,12.0
K2-292 b,K2-292,Transit,2019,K2,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A.114L/abstract target=ref>Luque et al. 2019</a>,16.9841,8.0E-4,-8.0E-4,0.13,2.63,0.235,24.5,0.07709,Mass,0.04,795,33,-28,0,0,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A.114L/abstract target=ref>Luque et al. 2019</a>,G3 V,5725.0,65.0,-65.0,0,1.09,1.0,0.07,4.33,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h41m30.21s,205.3758786,-9.9460704,114.293,9.885,8.407,2019-01-01,0.0,2.0
TOI-1221 b,TOI-1221,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=MANN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..217M/abstract target=ref>Mann et al. 2023</a>,91.68278,3.2E-4,-4.1E-4,0.387,2.91,0.26,1112.39942,3.5,Mass,0.21,440,60,-60,0,1,<a refstr=MANN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..217M/abstract target=ref>Mann et al. 2023</a>,Unknown,5592.0,50.0,-50.0,0,1.03,0.93,0.06,4.38,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h11m41.05s,107.9210254,-65.5088568,138.411,10.494,9.036,2023-01-01,0.0,0.0
K2-3 d,K2-3,Transit,2015,K2,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,44.55603,1.3E-4,-1.2E-4,0.2014,1.458,0.13,2.2,0.00692,Mass,0.091,305,3,-3,0,0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,M V,3844.0,61.0,-63.0,0,0.55,0.55,-0.157,4.7,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h29m20.49s,172.3353708,-1.4551364,44.0727,12.168,8.561,2015-01-01,0.0,2.0
TOI-157 b,TOI-157,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,2.0845435,2.3E-6,-2.3E-6,0.03138,14.415,1.286,375.0394,1.18,Mass,0.0,1588,21,-20,0,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,G9 IV,5404.0,70.0,-67.0,0,1.17,0.95,0.24,4.28,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h54m48.35s,73.7014398,-76.6806061,355.683,12.725,10.892,2020-01-01,0.0,0.0
HD 260655 c,HD 260655,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),<a refstr=LUQUE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220410261L/abstract target=ref>Luque et al. 2022</a>,5.70588,7.0E-5,-7.0E-5,0.04749,1.533,0.137,3.09,0.00972,Mass,0.038,557,3,-3,0,0,<a refstr=LUQUE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220410261L/abstract target=ref>Luque et al. 2022</a>,M0 V,3803.0,10.0,-10.0,0,0.44,0.44,-0.43,5.2,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h37m09.97s,99.2915429,17.5662696,10.0055,9.63,5.862,2022-01-01,0.0,0.0
TOI-2134 b,TOI-2134,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=RESCIGNO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.3121R/abstract target=ref>Rescigno et al. 2023</a>,9.2292005,6.3E-6,-6.3E-6,0.078,2.69,0.24,9.13,0.02873,Mass,0.06,666,8,-8,0,0,<a refstr=RESCIGNO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.3121R/abstract target=ref>Rescigno et al. 2023</a>,K5 V,4580.0,50.0,-50.0,0,0.71,0.74,0.12,4.8,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h07m44.52s,271.9355015,39.0729269,22.6202,8.933,6.091,2023-01-01,0.0,0.0
K2-266 e,K2-266,Transit,2018,K2,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..245R/abstract target=ref>Rodriguez et al. 2018</a>,19.482,0.0012,-0.0012,0.1249,2.73,0.244,14.3,0.04499,Mass,0.043,490,6,-6,0,1,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..245R/abstract target=ref>Rodriguez et al. 2018</a>,Unknown,4285.0,49.0,-57.0,0,0.7,0.69,-0.12,4.58,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h31m44.56s,157.9356855,0.9372782,77.5586,11.625,8.897,2018-01-01,0.0,2.0
TOI-1448 b,TOI-1448,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=HORI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240512637H/abstract target=ref>Hori et al. 2024</a>,8.112245,1.8E-5,-1.8E-5,0.0567,2.749,0.245,19.5,0.06135,Mass,0.36,426,6,-6,0,0,<a refstr=HORI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240512637H/abstract target=ref>Hori et al. 2024</a>,Unknown,3412.0,28.0,-32.0,0,0.38,0.37,0.37,4.85,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h05m17.76s,316.324003,57.7710946,73.3345,15.678,10.765,2024-01-01,0.0,0.0
TOI-2803 A b,TOI-2803 A,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,1.96229325,8.2E-7,-8.2E-7,0.03185,18.114,1.616,309.8827,0.975,Mass,0.0,1893,29,-28,0,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,Unknown,6280.0,99.0,-96.0,0,1.25,1.12,-0.105,4.3,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h12m27.54s,93.1147397,-23.4924956,494.818,12.537,11.282,2023-01-01,0.0,0.0
HATS-74 A b,HATS-74 A,Transit,2021,HATSouth,<a refstr=JORD_AACUTE_N_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..125J/abstract target=ref>Jord&aacute;n et al. 2022</a>,1.73185606,5.5E-7,-5.5E-7,0.02384,11.568,1.032,464.02947,1.46,Mass,0.044,895,6,-6,0,0,<a refstr=JORD_AACUTE_N_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..125J/abstract target=ref>Jord&aacute;n et al. 2022</a>,Unknown,3776.9,9.5,-9.5,0,0.58,0.6,0.514,4.7,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h24m03.55s,171.0147921,-19.5569588,299.389,17.26,12.361,2021-01-01,0.0,4.0
TOI-6016 b,TOI-6016,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=EHRHARDT_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...692A.220E/abstract target=ref>Ehrhardt et al. 2024</a>,4.023687,3.0E-6,-3.0E-6,0.055,13.675,1.22,371.85924,1.17,Mass,0.0,1890,40,-40,0,0,<a refstr=EHRHARDT_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...692A.220E/abstract target=ref>Ehrhardt et al. 2024</a>,F,6110.0,50.0,-50.0,0,1.51,1.31,0.28,4.19,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h18m05.75s,4.5239602,59.7661983,364.715,11.886,10.224,2024-01-01,0.0,0.0
TOI-2818 b,TOI-2818,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,4.039709,2.4E-6,-2.3E-6,0.0493,15.278,1.363,225.65817,0.71,Mass,0.0,1376,26,-24,0,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,Unknown,5721.0,88.0,-83.0,0,1.23,0.98,-0.02,4.25,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h56m14.36s,119.0598183,-35.1167104,312.674,11.937,10.403,2023-01-01,0.0,0.0
TOI-4010 d,TOI-4010,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=KUNIMOTO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166....7K/abstract target=ref>Kunimoto et al. 2023</a>,14.70886,3.0E-5,-3.0E-5,0.113,6.18,0.551,38.15,0.12003,Mass,0.07,650,6,-6,0,0,<a refstr=KUNIMOTO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166....7K/abstract target=ref>Kunimoto et al. 2023</a>,K V,4960.0,36.0,-36.0,0,0.83,0.88,0.37,4.54,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h20m51.56s,20.2148196,66.0722009,177.504,12.291,10.157,2023-01-01,0.0,0.0
